navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
Thurø Ejerlav,Thurø,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,55.042869,10.68516,
Thurø Sogn,Thurø,Sogn,Sogn,1,3,1000-01-01,9999-12-31,no,0.0,55.042869,10.68516,
Thurø Sognekommune,Thurø,Sognekommune,Sognekommune,1,2,1842-01-01,1970-03-31,no,0.0,55.042862,10.685182,
Thy Lægekreds,Thy,Lægekreds,Laegekreds,1,3,1915-03-27,1926-02-01,no,0.0,56.769706,8.428365,
Thyborøn Ejerlav,Thyborøn,Ejerlav,Ejerlav,1,9,1000-01-01,9999-12-31,no,0.0,56.700514,8.21254,
Thyborøn Pastorat,Thyborøn,Pastorat,Pastorat,1,5,1954-05-01,9999-12-31,no,0.0,56.698109,8.212586,
Thyborøn Sogn,Thyborøn,Sogn,Sogn,1,5,1954-05-01,9999-12-31,no,0.0,56.698109,8.212586,
Thyborøn Sognekommune,Thyborøn,Sognekommune,Sognekommune,1,2,1954-05-01,1970-03-31,no,0.0,56.700133,8.212568,
Thyborøn-Harboøre Kommune,Thyborøn-Harboøre,Kommune,Kommune,1,4,1970-04-01,2006-12-31,no,0.0,56.619727,8.178069,
Thyholm Distrikt,Thyholm Distrikt,Lægedistrikt,Laegedistrikt,1,1,1877-12-31,1915-03-26,no,0.0,56.643693,8.532302,
Thyholm Kommune,Thyholm,Kommune,Kommune,1,3,1970-04-01,2006-12-31,no,0.0,56.643149,8.533566,
Thyregod Ejerlav,Thyregod,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,55.903219,9.25866,
Thyregod Sogn,Thyregod,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,55.907524,9.254439,
Thyregod Sognekommune,Thyregod,Sognekommune,Sognekommune,1,1,1922-04-01,1966-04-01,no,0.0,55.908717,9.252896,
Thyregod-Vester Pastorat,Thyregod-Vester,Pastorat,Pastorat,1,1,1770-07-02,1924-07-01,no,0.0,55.909607,9.272917,
Thyregod-Vester Sognekommune,Thyregod-Vester,Sognekommune,Sognekommune,2,2,1842-01-01,1970-03-31,no,0.0,55.909607,9.272917,
Thyregodlund Ejerlav,Thyregodlund,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.906824,9.287395,
Ti Steder Ejerlav,Ti Steder,Ejerlav,Ejerlav,1,3,1740-01-01,9999-12-31,no,0.0,56.75552,10.026379,
Tibberup Ejerlav,Tibberup,Ejerlav,Ejerlav,3,4,1000-01-01,9999-12-31,no,16.41,55.983914,12.533404,
Tibirke Ejerlav,Tibirke,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.031607,12.081024,
Tibirke Flyvesand Ejerlav,Tibirke Flyvesand,Ejerlav,Ejerlav,1,1,1738-01-01,9999-12-31,no,0.0,56.038398,12.061716,
Tibirke Sogn,Tibirke,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,56.038859,12.072473,
Tidemandsholm Ejerlav,Tidemandsholm,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,57.379584,10.193798,
Tidsholm Ejerlav,Tidsholm,Ejerlav,Ejerlav,1,1,1000-01-01,1872-01-01,no,0.0,54.944245,8.938433,
Tiendegård Ejerlav,Tiendegård,Ejerlav,Ejerlav,1,1,1819-12-31,9999-12-31,no,0.0,56.973713,10.074241,
Tikøb Ejerlav,Tikøb,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.022743,12.45364,
Tikøb Pastorat,Tikøb,Pastorat,Pastorat,1,6,1770-07-02,1924-07-01,no,0.0,56.039612,12.490403,
Tikøb Skovhuse Ejerlav,Tikøb Skovhuse,Ejerlav,Ejerlav,1,1,1746-07-02,9999-12-31,no,0.0,56.011176,12.464806,
Tikøb Sogn,Tikøb,Sogn,Sogn,1,11,1000-01-01,9999-12-31,no,0.0,56.025035,12.490169,
Tikøb Sognekommune,Tikøb,Sognekommune,Sognekommune,1,9,1842-01-01,1970-03-31,no,0.0,56.039663,12.490341,
Tikøb Vurderingskreds,Tikøb,Vurderingskreds,Vurderingskreds,1,2,1963-08-01,1970-03-31,no,0.0,56.039382,12.489013,
Tikøb-Hornbæk-Hellebæk Pastorat,Tikøb-Hornbæk-Hellebæk,Pastorat,Pastorat,1,11,1000-01-01,9999-12-31,no,0.0,56.025035,12.490169,
Tillerup Ejerlav,Tillerup,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.185071,10.425453,
Tillitse Ejerlav,Tillitse,Ejerlav,Ejerlav,1,5,1000-01-01,9999-12-31,no,0.0,54.759458,11.151144,
Tillitse Sogn,Tillitse,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,54.758593,11.124094,
Tillitse Sognekommune,Tillitse,Sognekommune,Sognekommune,1,3,1843-01-01,1966-04-01,no,0.0,54.758612,11.124083,
Tilst Ejerlav,Tilst,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.192274,10.115682,
Tilst Sogn,Tilst,Sogn,Sogn,1,6,1000-01-01,9999-12-31,no,0.0,56.195602,10.117633,
Tilst-Kasted Pastorat,Tilst-Kasted,Pastorat,Pastorat,1,5,1873-07-02,9999-12-31,no,0.0,56.198588,10.122619,
Tilst-Kasted Sognekommune,Tilst-Kasted,Sognekommune,Sognekommune,1,3,1868-01-01,1970-03-31,no,0.0,56.198218,10.12485,
Tilsted Ejerlav,Tilsted,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.949844,8.640258,
Tilsted Pastorat,Tilsted,Pastorat,Pastorat,1,1,1980-06-01,9999-12-31,no,0.0,56.94263,8.642876,
Tilsted Sogn,Tilsted,Sogn,Sogn,1,1,1000-01-01,9999-12-31,no,0.0,56.94263,8.642876,
Tilsted Sognekommune,Tilsted,Sognekommune,Sognekommune,1,1,1842-01-01,1970-03-31,no,0.0,56.94263,8.642876,
Tim Birk,Tim,Birk,Birk,1,1,1000-01-01,1806-01-25,no,0.0,56.208156,8.296099,
Tim Pastorat,Tim,Pastorat,Pastorat,1,3,1000-01-01,9999-12-31,no,0.0,56.208159,8.296099,
Tim Sogn,Tim,Sogn,Sogn,1,3,1000-01-01,9999-12-31,no,0.0,56.208159,8.296099,
Tim Sognekommune,Tim,Sognekommune,Sognekommune,1,2,1842-01-01,1970-03-31,no,0.0,56.208157,8.296098,
Tim-Madum Pastorat,Tim-Madum,Pastorat,Pastorat,1,1,1000-01-01,1823-03-14,no,0.0,56.218628,8.297222,
Timotheus Sogn,Timotheus,Sogn,Sogn,1,3,1912-10-01,9999-12-31,no,0.0,55.662899,12.49306,
