name_norm,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
hoejby mark,Højby Mark,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.145352,10.022866,
hoejbygaard,Højbygård,Ejerlav,Ejerlav,1,4,1744-01-01,9999-12-31,no,0.0,54.681937,11.453595,
hoejdevang,Højdevang,Sogn,Sogn,1,4,1935-01-23,9999-12-31,no,0.0,55.637162,12.580224,
hoejdevangs,Højdevangs,Pastorat,Pastorat,1,4,1935-07-02,9999-12-31,no,0.0,55.637162,12.580224,
hoeje taastrup,Høje Tåstrup,Ejerlav; Kommune; Pastorat; Provsti; Sogn; Sognekommune; Vurderingskreds,Ejerlav; Kommune; Pastorat; Provsti; Sogn; Sognekommune; Vurderingskreds,11,39,1000-01-01,9999-12-31,no,2.08,55.651246,12.259795,
hoeje taastrup oestre,Høje Tåstrup østre,Vurderingskreds,Vurderingskreds,1,3,1975-04-01,2002-05-16,no,0.0,55.649846,12.285542,
hoeje taastrup vestre,Høje Tåstrup vestre,Vurderingskreds,Vurderingskreds,1,3,1975-04-01,2002-05-16,no,0.0,55.662424,12.222867,
hoejelse,Højelse,Ejerlav; Sogn; Sognekommune,Ejerlav; Sogn; Sognekommune,3,8,1000-01-01,9999-12-31,no,0.97,55.491823,12.126074,
hoejelse lellinge,Højelse-Lellinge,Pastorat,Pastorat,1,1,1854-07-02,1924-07-01,no,0.0,55.481017,12.118346,
hoejelt,Højelt,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.088972,12.230336,
hoejen,Højen,Ejerlav; Sogn; Sognekommune,Ejerlav; Sogn; Sognekommune,3,3,1000-01-01,9999-12-31,no,0.68,55.660042,9.503007,
hoejen jerlev,Højen-Jerlev,Pastorat; Sognekommune,Pastorat; Sognekommune,2,2,1770-07-02,1935-04-01,no,0.69,55.661007,9.492199,
hoejer,Højer,Birk; Ejerlav; Herred; Kommune; Sogn; Sognekommune; Sønderjysk afstemningsområde,Birk; Ejerlav; Herred; Kommune; Soenderjysk_afstemningsomraade; Sogn; Sognekommune,7,22,1000-01-01,9999-12-31,no,7.07,54.950349,8.718444,
hoejer daler,Højer-Daler,Pastorat,Pastorat,1,7,1000-01-01,2004-07-01,no,0.0,54.930104,8.714311,
hoejer geografisk,Højer Geografisk,Geografisk Herred,Geografisk_Herred,1,7,1000-01-01,1920-07-01,no,0.0,54.988626,8.703649,
hoejer landsogns,Højer Landsogns,Sognekommune,Sognekommune,1,1,1921-04-01,1970-03-31,no,0.0,54.922486,8.712953,
hoejerup,Højerup,Ejerlav; Pastorat; Sogn; Sognekommune,Ejerlav; Pastorat; Sogn; Sognekommune,4,6,1000-01-01,9999-12-31,no,0.03,55.281431,12.430386,
hoejesteret,Højesteret,Overret,Overret_jyl; Overret_sjl,2,2,1742-12-31,1743-07-02,yes,84.0,,,"142333@56.2129,9.3742 | 142333@55.3597,11.5852"
hoejet,Højet,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,54.692329,11.914244,
hoejfjelde,Højfjelde,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,54.839392,11.231427,
hoejgaard,Højgård,Ejerlav,Ejerlav,2,2,1000-01-01,9999-12-31,no,10.89,55.811777,9.354303,
hoejlund,Højlund,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.815932,8.655789,
hoejlyngen,Højlyngen,Ejerlav,Ejerlav,1,3,1000-01-01,1845-07-02,no,0.0,55.131171,14.939425,
hoejme,Højme,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.355544,10.316747,
hoejreby,Højreby,Ejerlav; Kommune; Sognekommune,Ejerlav; Kommune; Sognekommune,3,4,1000-01-01,9999-12-31,no,1.45,54.810518,11.264734,
hoejreby ravnsborg,Højreby-Ravnsborg,Vurderingskreds,Vurderingskreds,1,5,1970-04-01,2002-05-16,no,0.0,54.879844,11.240744,
hoejris,Højris,Ejerlav,Ejerlav,2,3,1000-01-01,9999-12-31,yes,35.44,,,"128822@56.7429,8.7927 | 131130@56.1417,9.1810"
hoejrup,Højrup,Ejerlav; Sogn; Sognekommune; Sønderjysk afstemningsområde,Ejerlav; Soenderjysk_afstemningsomraade; Sogn; Sognekommune,11,26,1000-01-01,9999-12-31,yes,258.13,,,"132452@55.2360,8.9718 | 113848@55.2359,8.9721 | 132182@55.3685,9.3209 | 127474@57.5471,9.9843 | 130969@55.5611,9.5990 | 126308@55.2508,10.1629 | 126690@55.1917,10.3510 | 131658@55.5194,9.3646 | 120575@55.2400,8.9682 | 122628@55.2360,8.9748 | 122566@55.3685,9.3209"
hoejsager,Højsager,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.971628,12.449554,
hoejsgaard,Højsgård,Ejerlav,Ejerlav,2,2,1000-01-01,9999-12-31,yes,73.96,,,"126280@55.2082,10.1062 | 131509@56.3936,9.0315"
hoejslev,Højslev,Ejerlav; Sogn,Ejerlav; Sogn,2,6,1000-01-01,9999-12-31,no,0.11,56.577886,9.143626,
hoejslev dommerby lundoe,Højslev-Dommerby-Lundø,Pastorat; Sognekommune,Pastorat; Sognekommune,2,9,1770-07-02,1970-03-31,no,0.01,56.575209,9.125956,
hoejsmarke,Højsmarke,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,54.898131,11.05967,
hoejsmarke made,Højsmarke Made,Ejerlav,Ejerlav,1,2,1744-12-31,9999-12-31,no,0.0,54.895215,11.023898,
hoejst,Højst,Sogn; Sognekommune,Sogn; Sognekommune,2,3,1000-01-01,9999-12-31,no,0.08,55.00385,9.029525,
hoejsted,Højsted,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.707839,11.341878,
hoejstrup,Højstrup,Ejerlav,Ejerlav,2,3,1000-01-01,9999-12-31,yes,144.42,,,"128525@57.0561,9.0152 | 125641@55.2471,12.3345"
hoejtholm,Højtholm,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.950814,9.523805,
hoekelsbjerg,Høkelsbjerg,Ejerlav,Ejerlav,1,2,1000-01-01,1872-01-01,no,0.0,55.376484,9.493828,
hoelkerup,Hølkerup,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.826023,11.714216,
hoellumkaer,Høllumkær,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.448473,8.824572,
hoellund,Høllund,Ejerlav,Ejerlav,2,2,1000-01-01,9999-12-31,no,12.85,55.642385,9.214426,
hoem,Høm,Ejerlav; Sogn,Ejerlav; Sogn,3,5,1000-01-01,9999-12-31,yes,186.85,,,"125047@55.4061,11.7775 | 113651@55.4061,11.7775 | 131799@55.2824,8.8252"
hoem moelle,Høm Mølle,Ejerlav,Ejerlav,1,1,1810-07-02,1917-07-02,no,0.0,55.418267,11.779253,
hoendrup,Høndrup,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.693314,9.802771,
hoeng,Høng,Ejerlav; Kommune; Retskreds; Sognekommune,Ejerlav; Kommune; Retskreds; Sognekommune,4,15,1000-01-01,9999-12-31,no,3.32,55.531827,11.323333,
hoengaard,Høngård,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,57.465118,9.949547,
hoenholt,Hønholt,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.248102,9.404683,
hoenkys,Hønkys,Ejerlav; Sønderjysk afstemningsområde,Ejerlav; Soenderjysk_afstemningsomraade,2,2,1000-01-01,9999-12-31,no,0.0,55.067945,9.257872,
hoennerup,Hønnerup,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.423819,9.97645,
hoenneruplund,Hønneruplund,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.433566,9.979876,
hoenning,Hønning,Ejerlav; Sønderjysk afstemningsområde,Ejerlav; Soenderjysk_afstemningsomraade,2,5,1000-01-01,9999-12-31,no,0.01,55.178449,8.953001,
hoensinge,Hønsinge,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,55.866043,11.554957,
hoenske,Hønske,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.53018,12.041728,
hoensnap,Hønsnap,Ejerlav; Sønderjysk afstemningsområde,Ejerlav; Soenderjysk_afstemningsomraade,2,3,1000-01-01,9999-12-31,no,0.08,54.867898,9.464814,
hoerby,Hørby,Ejerlav; Pastorat; Sogn; Sognekommune,Ejerlav; Pastorat; Sogn; Sognekommune,8,17,1000-01-01,9999-12-31,yes,121.79,,,"113653@57.3264,10.3787 | 116759@56.8642,10.7738 | 128191@56.6526,9.7466 | 113654@56.6573,9.7661 | 124557@55.7434,11.6740 | 113652@55.7527,11.6816 | 119104@55.7527,11.6816 | 119732@57.3263,10.3788"
hoerbylund,Hørbylund,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,57.360432,10.374135,
hoerdum,Hørdum,Ejerlav; Sogn,Ejerlav; Sogn,2,9,1000-01-01,9999-12-31,no,0.5,56.848134,8.50571,
hoerdum skyum,Hørdum-Skyum,Pastorat,Pastorat,1,1,1977-12-01,9999-12-31,no,0.0,56.84183,8.539228,
hoerdum skyum villerslev,Hørdum-Skyum-Villerslev,Pastorat,Pastorat,1,5,1000-01-01,1977-12-01,no,0.0,56.841774,8.538554,
hoerlykke,Hørlykke,Ejerlav,Ejerlav,1,1,1000-01-01,1869-12-31,no,0.0,55.258859,9.253534,
hoermested,Hørmested,Ejerlav; Sogn; Sognekommune,Ejerlav; Sogn; Sognekommune,3,6,1000-01-01,9999-12-31,no,1.26,57.453163,10.250885,
hoerning,Hørning,Ejerlav; Kommune; Sogn; Sognekommune,Ejerlav; Kommune; Sogn; Sognekommune,6,14,1000-01-01,9999-12-31,yes,37.52,,,"130338@56.0886,10.0350 | 113658@56.0844,10.0267 | 113657@56.4136,10.2140 | 120934@56.0940,9.9546 | 120184@56.0821,10.0002 | 129789@56.4106,10.2008"
hoerning blegind adslev,Hørning-Blegind-Adslev,Pastorat,Pastorat,1,4,1000-01-01,9999-12-31,no,0.0,56.084913,10.017963,
hoerning skanderborg,Hørning-Skanderborg,Vurderingskreds,Vurderingskreds,1,3,1970-04-01,2002-05-16,no,0.0,56.043201,9.938074,
hoerret,Hørret,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.087018,10.182741,
hoersholm,Hørsholm,Amt; Birk; Ejerlav; Kommune; Landvæsensdistrikt; Pastorat; Retskreds; Sogn; Sognekommune; Vurderingskreds,Amt; Birk; Ejerlav; Kommune; Landvaesensdistrikt; Pastorat; Retskreds; Sogn; Sognekommune; Vurderingskreds,14,46,1000-01-01,9999-12-31,no,3.21,55.88334,12.474042,
hoersholm distrikt,Hørsholm Distrikt,Lægedistrikt,Laegedistrikt,1,3,1788-05-09,1915-03-26,no,0.0,55.88389,12.451106,
hoersholm karlebo,Hørsholm-Karlebo,Vurderingskreds,Vurderingskreds,1,2,1963-08-01,1970-03-31,no,0.0,55.907669,12.468672,
hoersholms,Hørsholms,Amt,Amt,1,1,1662-02-19,1685-01-01,no,0.0,55.877739,12.459472,
hoerslev,Hørslev,Ejerlav,Ejerlav,2,3,1000-01-01,9999-12-31,no,0.38,56.165857,9.980601,
hoersted,Hørsted,Ejerlav; Sogn,Ejerlav; Sogn,2,4,1000-01-01,9999-12-31,no,0.0,56.873339,8.49623,
hoerup,Hørup,Ejerlav; Sogn; Sognekommune; Sønderjysk afstemningsområde,Ejerlav; Soenderjysk_afstemningsomraade; Sogn; Sognekommune,9,24,1000-01-01,9999-12-31,yes,139.49,,,"132856@54.9182,9.9037 | 129175@56.2966,9.4393 | 113850@54.9222,9.9135 | 128910@56.5903,9.4780 | 120627@54.9223,9.9135 | 124190@55.8538,12.1335 | 130896@55.7594,9.4710 | 113661@56.2854,9.4298 | 122866@54.9182,9.9037"
hoerup levring,Hørup-Levring,Pastorat,Pastorat,1,1,1770-07-02,1924-07-01,no,0.0,56.295504,9.466274,
hoerve,Hørve,Ejerlav; Sogn,Ejerlav; Sogn,2,5,1000-01-01,9999-12-31,no,0.38,55.756954,11.451889,
hoestemark,Høstemark,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.940821,10.214291,
hoesten,Høsten,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.330731,12.051968,
hoesten torp,Høsten Torp,Ejerlav,Ejerlav,2,5,1000-01-01,9999-12-31,no,0.16,55.344268,12.044714,
hoesterkoeb,Høsterkøb,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,55.859293,12.484179,
hoestrup,Høstrup,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.372865,9.041517,
hoevdingsgaard,Høvdingsgård,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,55.033365,12.082259,
hoeve,Høve,Ejerlav; Sogn,Ejerlav; Sogn,3,7,1000-01-01,9999-12-31,yes,60.99,,,"124739@55.8319,11.4884 | 113663@55.2755,11.3928 | 125202@55.2851,11.3935"
hoeve flakkebjerg,Høve-Flakkebjerg,Pastorat; Sognekommune,Pastorat; Sognekommune,2,2,1842-01-01,1966-04-01,no,0.0,55.291124,11.393652,
hoeve flakkebjerg skoerpinge faardrup,Høve-Flakkebjerg-Skørpinge-Fårdrup,Pastorat,Pastorat,1,4,1000-01-01,9999-12-31,no,0.0,55.308213,11.378402,
hoeved,Høved,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.485338,10.145733,
hoevelte,Høvelte,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,55.84813,12.398325,
hoeveltsvang,Høveltsvang,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.845606,12.341665,
hoever,Høver,Ejerlav,Ejerlav,2,6,1000-01-01,9999-12-31,yes,37.51,,,"130152@56.1374,9.8898 | 131517@56.4421,8.8048"
hoevsoere enge,Høvsøre Enge,Ejerlav,Ejerlav,1,2,1842-07-02,9999-12-31,no,0.0,56.447171,8.138417,
hoeybye,Høybye,Sogn,Sogn,1,3,1000-01-01,9999-12-31,no,0.0,55.325845,10.43624,
hoeyen,Høyen,Ejerlav,Ejerlav,1,1,1000-01-01,1886-07-02,no,0.0,57.440356,10.300311,
hofmansfeld,Hofmansfeld,Ejerlav,Ejerlav,1,3,1737-07-02,9999-12-31,no,0.0,55.686798,9.196549,
hofmansgave,Hofmansgave,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.537525,10.48947,
hokkerup,Hokkerup,Ejerlav; Sønderjysk afstemningsområde,Ejerlav; Soenderjysk_afstemningsomraade,2,6,1000-01-01,9999-12-31,no,0.01,54.89262,9.499452,
