toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
3177;Ersbola;;Åby (Stora);Lysings h:d;Östergötland;;;6448137.4903;485627.1936;58.1743;14.7557;high;D10a:203-206-254, D10b:206;https://sok.riksarkivet.se/bildvisning/R0000166_00088, https://sok.riksarkivet.se/bildvisning/R0000167_00113;https://sok.riksarkivet.se/topografi/3177
3178;Prästtorp;;Åby (Stora);Lysings h:d;Östergötland;;;6444833.2272;483089.8969;58.1445;14.7128;high;D10a:207-209, D10b:207;https://sok.riksarkivet.se/bildvisning/R0000166_00089, https://sok.riksarkivet.se/bildvisning/R0000167_00113;https://sok.riksarkivet.se/topografi/3178
3179;Halvarby;;Åby (Stora);Lysings h:d;Östergötland;;;6444312.2343;482517.1277;58.1398;14.7031;high;D10a:207-209, D10b:208-209;https://sok.riksarkivet.se/bildvisning/R0000166_00089, https://sok.riksarkivet.se/bildvisning/R0000167_00114;https://sok.riksarkivet.se/topografi/3179
3180;Ruskelsby;;Åby (Stora);Lysings h:d;Östergötland;;;6443767.7411;482299.9768;58.1349;14.6994;high;D10a:207-209, D10b:208-209;https://sok.riksarkivet.se/bildvisning/R0000166_00089, https://sok.riksarkivet.se/bildvisning/R0000167_00114;https://sok.riksarkivet.se/topografi/3180
3181;Skog;;Åby (Stora);Lysings h:d;Östergötland;;;6442835.7805;481796.7686;58.1265;14.6909;high;D10a:210-235-238, D10b:210;https://sok.riksarkivet.se/bildvisning/R0000166_00090, https://sok.riksarkivet.se/bildvisning/R0000167_00115;https://sok.riksarkivet.se/topografi/3181
3182;Kalvhult;;Åby (Stora);Lysings h:d;Östergötland;;;6446075.3179;481841.9123;58.1556;14.6915;high;D10a:202-211-213, D10b:211;https://sok.riksarkivet.se/bildvisning/R0000166_00087, https://sok.riksarkivet.se/bildvisning/R0000167_00115;https://sok.riksarkivet.se/topografi/3182
3183;Bäck;;Åby (Stora);Lysings h:d;Östergötland;;;6445862.0452;482777.3745;58.1537;14.7074;high;D10a:202-211-213, D10b:212;https://sok.riksarkivet.se/bildvisning/R0000166_00087, https://sok.riksarkivet.se/bildvisning/R0000167_00116;https://sok.riksarkivet.se/topografi/3183
3184;Boet;;Åby (Stora);Lysings h:d;Östergötland;;;6445851.3129;483137.2996;58.1536;14.7135;high;D10a:202-211-213, D10b:213;https://sok.riksarkivet.se/bildvisning/R0000166_00087, https://sok.riksarkivet.se/bildvisning/R0000167_00116;https://sok.riksarkivet.se/topografi/3184
3185;Gammalsby;;Åby (Stora);Lysings h:d;Östergötland;;;6448213.0792;479866.6489;58.1747;14.6577;high;D10b:191;https://sok.riksarkivet.se/bildvisning/R0000167_00105;https://sok.riksarkivet.se/topografi/3185
3186;Bonderyd;;Åby (Stora);Lysings h:d;Östergötland;;;6449683.9680;485636.9741;58.1882;14.7557;high;D10a:215-218, D10b:215;https://sok.riksarkivet.se/bildvisning/R0000166_00091, https://sok.riksarkivet.se/bildvisning/R0000167_00117;https://sok.riksarkivet.se/topografi/3186
3187;Riset;;Åby (Stora);Lysings h:d;Östergötland;;Ödetorp;6446186.7595;483882.7769;58.1567;14.7261;high;D10b:214;https://sok.riksarkivet.se/bildvisning/R0000167_00117;https://sok.riksarkivet.se/topografi/3187
3188;Bro;;Åby (Stora);Lysings h:d;Östergötland;;;6450278.3705;485180.3891;58.1935;14.7479;high;D10a:215-218, D10b:216-217;https://sok.riksarkivet.se/bildvisning/R0000166_00091, https://sok.riksarkivet.se/bildvisning/R0000167_00118;https://sok.riksarkivet.se/topografi/3188
3189;Hällan;;Åby (Stora);Lysings h:d;Östergötland;;;6450783.1626;484442.85;58.198;14.7353;middle;D10a:215-218, D10b:216-217;https://sok.riksarkivet.se/bildvisning/R0000166_00091, https://sok.riksarkivet.se/bildvisning/R0000167_00118;https://sok.riksarkivet.se/topografi/3189
3190;Pelarebo;;Åby (Stora);Lysings h:d;Östergötland;;;6452517.2376;486784.9414;58.2136;14.7751;high;D10a:217, D10b:216-217;https://sok.riksarkivet.se/bildvisning/R0000166_00109, https://sok.riksarkivet.se/bildvisning/R0000167_00118;https://sok.riksarkivet.se/topografi/3190
3191;Jönsabola;;Åby (Stora);Lysings h:d;Östergötland;;;6446755.0507;483661.6587;58.1618;14.7223;high;D10a:219-222, D10b:219;https://sok.riksarkivet.se/bildvisning/R0000166_00092, https://sok.riksarkivet.se/bildvisning/R0000167_00119;https://sok.riksarkivet.se/topografi/3191
3192;Sjögård;Sjön;Åby (Stora);Lysings h:d;Östergötland;;;6450220.6258;485989.5987;58.193;14.7617;high;D10a:215-218, D10b:218;https://sok.riksarkivet.se/bildvisning/R0000166_00091, https://sok.riksarkivet.se/bildvisning/R0000167_00119;https://sok.riksarkivet.se/topografi/3192
3193;Lyckan;;Åby (Stora);Lysings h:d;Östergötland;;;6447904.2111;483888.7175;58.1721;14.7261;high;D10a:219-222, D10b:221;https://sok.riksarkivet.se/bildvisning/R0000166_00092, https://sok.riksarkivet.se/bildvisning/R0000167_00120;https://sok.riksarkivet.se/topografi/3193
3194;Tyrsabola;;Åby (Stora);Lysings h:d;Östergötland;;;6446449.8771;483046.5462;58.159;14.7119;high;D10a:219-222, D10b:220;https://sok.riksarkivet.se/bildvisning/R0000166_00092, https://sok.riksarkivet.se/bildvisning/R0000167_00120;https://sok.riksarkivet.se/topografi/3194
3195;Sonaby;;Åby (Stora);Lysings h:d;Östergötland;;;6448209.0050;484077.7257;58.1749;14.7293;high;D10a:219-222, D10b:222;https://sok.riksarkivet.se/bildvisning/R0000166_00092, https://sok.riksarkivet.se/bildvisning/R0000167_00121;https://sok.riksarkivet.se/topografi/3195
3196;Lindeberg;;Åby (Stora);Lysings h:d;Östergötland;;;6453868.3190;485959.9426;58.2257;14.761;high;D10a:223-226, D10b:223;https://sok.riksarkivet.se/bildvisning/R0000166_00093, https://sok.riksarkivet.se/bildvisning/R0000167_00121;https://sok.riksarkivet.se/topografi/3196
3197;Råstorp;;Åby (Stora);Lysings h:d;Östergötland;;;6454556.3696;484776.9916;58.2319;14.7408;high;D10a:223-226, D10b:224-225;https://sok.riksarkivet.se/bildvisning/R0000166_00093, https://sok.riksarkivet.se/bildvisning/R0000167_00122;https://sok.riksarkivet.se/topografi/3197
3198;Stenseryd;;Åby (Stora);Lysings h:d;Östergötland;;;6454647.5161;487001.7745;58.2328;14.7787;high;D10a:223-226, D10b:224-225;https://sok.riksarkivet.se/bildvisning/R0000166_00093, https://sok.riksarkivet.se/bildvisning/R0000167_00122;https://sok.riksarkivet.se/topografi/3198
3199;Boeryd;;Åby (Stora);Lysings h:d;Östergötland;;;6455267.0192;486299.0154;58.2383;14.7667;high;D10a:223-226, D10b:226;https://sok.riksarkivet.se/bildvisning/R0000166_00093, https://sok.riksarkivet.se/bildvisning/R0000167_00123;https://sok.riksarkivet.se/topografi/3199
3200;Lilla Aleryd;;Åby (Stora);Lysings h:d;Östergötland;;;6441591.6959;481389.347;58.1153;14.6841;high;D10a:227-229-230, D10b:227;https://sok.riksarkivet.se/bildvisning/R0000166_00094, https://sok.riksarkivet.se/bildvisning/R0000167_00123;https://sok.riksarkivet.se/topografi/3200
3201;Tuna;;Åby (Stora);Lysings h:d;Östergötland;;;6441242.8757;480548.7178;58.1121;14.6699;high;D10a:227-229-230, D10b:228;https://sok.riksarkivet.se/bildvisning/R0000166_00094, https://sok.riksarkivet.se/bildvisning/R0000167_00124;https://sok.riksarkivet.se/topografi/3201
3202;Stora Morliden;Stora Mårlöijea;Åby (Stora);Lysings h:d;Östergötland;;;6439903.6872;479409.7294;58.1001;14.6507;high;D10a:227-229-230, D10b:229;https://sok.riksarkivet.se/bildvisning/R0000166_00094, https://sok.riksarkivet.se/bildvisning/R0000167_00124;https://sok.riksarkivet.se/topografi/3202
3203;Lilla Morliden;Lilla Mårlöijea;Åby (Stora);Lysings h:d;Östergötland;;;6440153.5471;480647.6721;58.1024;14.6717;high;D10a:227-229-230, D10b:230;https://sok.riksarkivet.se/bildvisning/R0000166_00094, https://sok.riksarkivet.se/bildvisning/R0000167_00125;https://sok.riksarkivet.se/topografi/3203
3204;Stora Aleryd;;Åby (Stora);Lysings h:d;Östergötland;;;6440841.0283;482285.3951;58.1086;14.6994;high;D10a:231-234, D10b:231;https://sok.riksarkivet.se/bildvisning/R0000166_00095, https://sok.riksarkivet.se/bildvisning/R0000167_00125;https://sok.riksarkivet.se/topografi/3204
3205;Skräddarp;;Åby (Stora);Lysings h:d;Östergötland;;;6440193.1963;484467.5919;58.1029;14.7365;high;D10a:231-234, D10b:232;https://sok.riksarkivet.se/bildvisning/R0000166_00095, https://sok.riksarkivet.se/bildvisning/R0000167_00126;https://sok.riksarkivet.se/topografi/3205
3206;Stengårdshult;;Åby (Stora);Lysings h:d;Östergötland;;;6440872.4800;484199.6007;58.109;14.7319;high;D10a:231-234, D10b:233;https://sok.riksarkivet.se/bildvisning/R0000166_00095, https://sok.riksarkivet.se/bildvisning/R0000167_00126;https://sok.riksarkivet.se/topografi/3206
3207;Öna;;Åby (Stora);Lysings h:d;Östergötland;;;6441944.8365;484456.8991;58.1186;14.7362;high;D10a:231-234, D10b:234;https://sok.riksarkivet.se/bildvisning/R0000166_00095, https://sok.riksarkivet.se/bildvisning/R0000167_00127;https://sok.riksarkivet.se/topografi/3207
3208;Gårdshult;;Åby (Stora);Lysings h:d;Östergötland;;;6442741.0629;482460.6929;58.1257;14.7022;high;D10a:210-235-238, D10b:235;https://sok.riksarkivet.se/bildvisning/R0000166_00090, https://sok.riksarkivet.se/bildvisning/R0000167_00127;https://sok.riksarkivet.se/topografi/3208
3209;Björnseryd;;Åby (Stora);Lysings h:d;Östergötland;;;6442831.0811;483312.0581;58.1265;14.7167;high;D10a:210-235-238, D10b:236;https://sok.riksarkivet.se/bildvisning/R0000166_00090, https://sok.riksarkivet.se/bildvisning/R0000167_00128;https://sok.riksarkivet.se/topografi/3209
3210;Frätsabola;;Åby (Stora);Lysings h:d;Östergötland;;;6441979.1336;483380.3042;58.1189;14.7179;high;D10a:210-235-238, D10b:237;https://sok.riksarkivet.se/bildvisning/R0000166_00090, https://sok.riksarkivet.se/bildvisning/R0000167_00128;https://sok.riksarkivet.se/topografi/3210
3211;Klövedal;;Åby (Stora);Lysings h:d;Östergötland;;;6441638.0517;482740.2479;58.1158;14.7071;high;D10a:210-235-238, D10b:238;https://sok.riksarkivet.se/bildvisning/R0000166_00090, https://sok.riksarkivet.se/bildvisning/R0000167_00129;https://sok.riksarkivet.se/topografi/3211
3212;Ermundeby;;Åby (Stora);Lysings h:d;Östergötland;;;6445668.3321;484860.9327;58.1521;14.7428;high;D10a:239-242, D10b:239;https://sok.riksarkivet.se/bildvisning/R0000166_00096, https://sok.riksarkivet.se/bildvisning/R0000167_00129;https://sok.riksarkivet.se/topografi/3212
3213;Hemmingsby;;Åby (Stora);Lysings h:d;Östergötland;;;6446663.0491;484833.6049;58.161;14.7423;high;D10a:239-242, D10b:240;https://sok.riksarkivet.se/bildvisning/R0000166_00096, https://sok.riksarkivet.se/bildvisning/R0000167_00130;https://sok.riksarkivet.se/topografi/3213
3214;Bökö;;Åby (Stora);Lysings h:d;Östergötland;;;6447351.9188;485116.6465;58.1672;14.747;high;D10a:239-242, D10b:241;https://sok.riksarkivet.se/bildvisning/R0000166_00096, https://sok.riksarkivet.se/bildvisning/R0000167_00130;https://sok.riksarkivet.se/topografi/3214
3215;Kälkebo;;Åby (Stora);Lysings h:d;Östergötland;;;6446347.7007;485585.7009;58.1582;14.7551;high;D10a:239-242, D10b:242;https://sok.riksarkivet.se/bildvisning/R0000166_00096, https://sok.riksarkivet.se/bildvisning/R0000167_00131;https://sok.riksarkivet.se/topografi/3215
3216;Månsabola;;Åby (Stora);Lysings h:d;Östergötland;;;6452196.1736;484956.2042;58.2107;14.744;high;D10a:243-246, D10b:243;https://sok.riksarkivet.se/bildvisning/R0000166_00097, https://sok.riksarkivet.se/bildvisning/R0000167_00131;https://sok.riksarkivet.se/topografi/3216
3217;Prästabola;;Åby (Stora);Lysings h:d;Östergötland;;;6452485.1177;485375.9198;58.2133;14.7511;high;D10a:243-246, D10b:244-245;https://sok.riksarkivet.se/bildvisning/R0000166_00097, https://sok.riksarkivet.se/bildvisning/R0000167_00132;https://sok.riksarkivet.se/topografi/3217
3218;Staffanstorp;;Åby (Stora);Lysings h:d;Östergötland;;;6452965.0541;486214.423;58.2176;14.7654;high;D10a:243-246, D10b:244-245;https://sok.riksarkivet.se/bildvisning/R0000166_00097, https://sok.riksarkivet.se/bildvisning/R0000167_00132;https://sok.riksarkivet.se/topografi/3218
3219;Rävskinnshult;;Åby (Stora);Lysings h:d;Östergötland;;;6453490.3115;486077.9999;58.2224;14.763;high;D10a:243-246, D10b:246;https://sok.riksarkivet.se/bildvisning/R0000166_00097, https://sok.riksarkivet.se/bildvisning/R0000167_00133;https://sok.riksarkivet.se/topografi/3219
3220;Håletorp;;Åby (Stora);Lysings h:d;Östergötland;;;6452019.2768;487237.7423;58.2092;14.7828;high;D10a:247-250, D10b:247;https://sok.riksarkivet.se/bildvisning/R0000166_00098, https://sok.riksarkivet.se/bildvisning/R0000167_00133;https://sok.riksarkivet.se/topografi/3220
3221;Ingabola;;Åby (Stora);Lysings h:d;Östergötland;;;6451800.9564;485709.6786;58.2072;14.7568;high;D10a:248-249, D10b:248-249;https://sok.riksarkivet.se/bildvisning/R0000166_00099, https://sok.riksarkivet.se/bildvisning/R0000167_00134;https://sok.riksarkivet.se/topografi/3221
3222;Dalen;;Åby (Stora);Lysings h:d;Östergötland;;;6451949.7925;486277.4873;58.2085;14.7665;high;D10a:248-249, D10b:248-249;https://sok.riksarkivet.se/bildvisning/R0000166_00099, https://sok.riksarkivet.se/bildvisning/R0000167_00134;https://sok.riksarkivet.se/topografi/3222
3223;Jonstorp;;Åby (Stora);Lysings h:d;Östergötland;;;6451498.7415;486128.9355;58.2045;14.764;high;D10a:248-249, D10b:248-249;https://sok.riksarkivet.se/bildvisning/R0000166_00099, https://sok.riksarkivet.se/bildvisning/R0000167_00134;https://sok.riksarkivet.se/topografi/3223
3224;Fagerhult;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6448068.7489;487488.1764;58.1737;14.7873;high;D10a:247-250, D10b:250;https://sok.riksarkivet.se/bildvisning/R0000166_00098, https://sok.riksarkivet.se/bildvisning/R0000167_00135;https://sok.riksarkivet.se/topografi/3224
3225;Hagen;;Åby (Stora);Lysings h:d;Östergötland;;;6444891.7015;483609.9025;58.145;14.7216;middle;D10a:251-253, D10b:251;https://sok.riksarkivet.se/bildvisning/R0000166_00100, https://sok.riksarkivet.se/bildvisning/R0000167_00135;https://sok.riksarkivet.se/topografi/3225
3226;Toretorp;;Åby (Stora);Lysings h:d;Östergötland;;;6446062.5663;484397.293;58.1556;14.7349;high;D10a:251-253, D10b:252;https://sok.riksarkivet.se/bildvisning/R0000166_00100, https://sok.riksarkivet.se/bildvisning/R0000167_00136;https://sok.riksarkivet.se/topografi/3226
3227;Äng;;Åby (Stora);Lysings h:d;Östergötland;;;6445567.1656;483908.2995;58.1511;14.7266;high;D10a:251-253, D10b:253;https://sok.riksarkivet.se/bildvisning/R0000166_00100, https://sok.riksarkivet.se/bildvisning/R0000167_00136;https://sok.riksarkivet.se/topografi/3227
3228;Åsa;;Åby (Stora);Lysings h:d;Östergötland;;;6447951.0462;483234.1549;58.1725;14.715;high;D10a:203-206-254, D10b:254;https://sok.riksarkivet.se/bildvisning/R0000166_00088, https://sok.riksarkivet.se/bildvisning/R0000167_00137;https://sok.riksarkivet.se/topografi/3228
3229;Fivlefall;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6443008.2432;490172.3907;58.1283;14.8331;high;D10a:255, D10b:255;https://sok.riksarkivet.se/bildvisning/R0000166_00101, https://sok.riksarkivet.se/bildvisning/R0000167_00137;https://sok.riksarkivet.se/topografi/3229
3230;Hallången;Hallings stuga;Åby (Stora);Lysings h:d;Östergötland;Trehörna sn, ÄGK* Hallings stuga;Numera i Trehörna socken, ÄGK: Hallings stuga;6448586.2527;490193.5239;58.1784;14.8333;high;D10a:256-260, D10b:256-257;https://sok.riksarkivet.se/bildvisning/R0000166_00103, https://sok.riksarkivet.se/bildvisning/R0000167_00138;https://sok.riksarkivet.se/topografi/3230
3231;Lilla Sandkulla;;Åby (Stora);Lysings h:d;Östergötland;"Numera i Trehörna socken, ÄGK: """"Såndkulla""""";Numera i Trehörna socken, ÄGK: Såndkulla;6449481.8812;490912.6749;58.1865;14.8455;high;D10a:257, D10b:256-257;https://sok.riksarkivet.se/bildvisning/R0000166_00103, https://sok.riksarkivet.se/bildvisning/R0000167_00138;https://sok.riksarkivet.se/topografi/3231
3232;Svärdstorp;Svartistorp;Åby (Stora);Lysings h:d;Östergötland;;Numera i Trehörna socken;6442888.2773;491273.7535;58.1273;14.8518;high;D10a:258, D10b:258;https://sok.riksarkivet.se/bildvisning/R0000166_00104, https://sok.riksarkivet.se/bildvisning/R0000167_00139;https://sok.riksarkivet.se/topografi/3232
3233;Pukeryd;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6440631.4967;489015.9921;58.1069;14.8136;high;D10a:259-261-262, D10b:259;https://sok.riksarkivet.se/bildvisning/R0000166_00106, https://sok.riksarkivet.se/bildvisning/R0000167_00139;https://sok.riksarkivet.se/topografi/3233
3234;Slangeryd;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6447422.0087;490424.2039;58.168;14.8372;high;D10a:256-260, D10b:260-261;https://sok.riksarkivet.se/bildvisning/R0000166_00102, https://sok.riksarkivet.se/bildvisning/R0000167_00140;https://sok.riksarkivet.se/topografi/3234
3235;Olstorp;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6440716.9095;489656.9552;58.1077;14.8245;high;D10a:259-261-262, D10b:260-261;https://sok.riksarkivet.se/bildvisning/R0000166_00106, https://sok.riksarkivet.se/bildvisning/R0000167_00140;https://sok.riksarkivet.se/topografi/3235
3236;Hult;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6442458.4372;489422.7297;58.1234;14.8204;high;D10a:259-261-262, D10b:262;https://sok.riksarkivet.se/bildvisning/R0000166_00105, https://sok.riksarkivet.se/bildvisning/R0000167_00141;https://sok.riksarkivet.se/topografi/3236
3237;Hägna;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6443666.8914;490047.4241;58.1342;14.831;high;D10a:263, D10b:263;https://sok.riksarkivet.se/bildvisning/R0000166_00106, https://sok.riksarkivet.se/bildvisning/R0000167_00142;https://sok.riksarkivet.se/topografi/3237
3238;Fågeltorp;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6446882.0787;491995.9641;58.1631;14.864;high;D10a:264-265, D10b:264-265;https://sok.riksarkivet.se/bildvisning/R0000166_00107, https://sok.riksarkivet.se/bildvisning/R0000167_00143;https://sok.riksarkivet.se/topografi/3238
3239;Lassarp;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6448322.0509;491875.255;58.1761;14.8619;high;D10a:264-265, D10b:264-265;https://sok.riksarkivet.se/bildvisning/R0000166_00107, https://sok.riksarkivet.se/bildvisning/R0000167_00143;https://sok.riksarkivet.se/topografi/3239
3240;Ekeberg;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6447701.2217;491735.6725;58.1705;14.8595;high;D10a:264-265, D10b:264-265;https://sok.riksarkivet.se/bildvisning/R0000166_00107, https://sok.riksarkivet.se/bildvisning/R0000167_00143;https://sok.riksarkivet.se/topografi/3240
3241;Hålan;;Åby (Stora);Lysings h:d;Östergötland;Numera i Trehörna socken;Numera i Trehörna socken;6441485.5248;490532.1539;58.1146;14.8393;high;D10a:266, D10b:266;https://sok.riksarkivet.se/bildvisning/R0000166_00108, https://sok.riksarkivet.se/bildvisning/R0000167_00144;https://sok.riksarkivet.se/topografi/3241
3242;Bergskullen;;Åby (Stora);Lysings h:d;Östergötland;;;6449467.2029;482313.1249;58.1861;14.6992;high;D10a:195-198, D10b:198;https://sok.riksarkivet.se/bildvisning/R0000166_00085, https://sok.riksarkivet.se/bildvisning/R0000167_00109;https://sok.riksarkivet.se/topografi/3242
3243;Råby;;Ödeshög;Lysings h:d;Östergötland;;;6457632.6849;480559.7285;58.2593;14.6687;high;D10a:94-95, D10b:94-95;https://sok.riksarkivet.se/bildvisning/R0000166_00054, https://sok.riksarkivet.se/bildvisning/R0000167_00057;https://sok.riksarkivet.se/topografi/3243
3244;Kråketorp;;Ödeshög;Lysings h:d;Östergötland;;;6457076.4149;481099.2768;58.2544;14.678;high;D10a:94-95, D10b:94-95;https://sok.riksarkivet.se/bildvisning/R0000166_00054, https://sok.riksarkivet.se/bildvisning/R0000167_00057;https://sok.riksarkivet.se/topografi/3244
3245;Åryd;;Ödeshög;Lysings h:d;Östergötland;;;6450201.1270;478867.3816;58.1925;14.6405;high;D10a:97-138-139, D10b:97;https://sok.riksarkivet.se/bildvisning/R0000166_00056, https://sok.riksarkivet.se/bildvisning/R0000167_00058;https://sok.riksarkivet.se/topografi/3245
3246;Ödeshög;Ödesjö;Ödeshög;Lysings h:d;Östergötland;;;6454348.1390;479570.3909;58.2298;14.6521;high;D10a:98, D10b:98-99;https://sok.riksarkivet.se/bildvisning/R0000166_00055, https://sok.riksarkivet.se/bildvisning/R0000167_00059;https://sok.riksarkivet.se/topografi/3246
3247;Lyckan;;Ödeshög;Lysings h:d;Östergötland;;;6455702.5274;480707.9503;58.242;14.6714;high;D10a:100, D10b:100;https://sok.riksarkivet.se/bildvisning/R0000166_00059, https://sok.riksarkivet.se/bildvisning/R0000167_00060;https://sok.riksarkivet.se/topografi/3247
3248;Erstorp;;Ödeshög;Lysings h:d;Östergötland;;;6453275.0866;478596.6004;58.2201;14.6357;high;D10a:101, D10b:101;https://sok.riksarkivet.se/bildvisning/R0000166_00058, https://sok.riksarkivet.se/bildvisning/R0000167_00060;https://sok.riksarkivet.se/topografi/3248
3249;Sväm;;Ödeshög;Lysings h:d;Östergötland;Bosgården redovisas för sig;;6452972.9645;477660.1618;58.2174;14.6198;high;D10a:102, D10b:102-103;https://sok.riksarkivet.se/bildvisning/R0000166_00059, https://sok.riksarkivet.se/bildvisning/R0000167_00061;https://sok.riksarkivet.se/topografi/3249
3250;Stockseryd;;Ödeshög;Lysings h:d;Östergötland;;;6451554.5174;477580.0967;58.2046;14.6185;high;D10a:104-106, D10b:104;https://sok.riksarkivet.se/bildvisning/R0000166_00060, https://sok.riksarkivet.se/bildvisning/R0000167_00062;https://sok.riksarkivet.se/topografi/3250
3251;Kråkeryd;;Ödeshög;Lysings h:d;Östergötland;;;6450743.0820;476688.4597;58.1973;14.6034;high;D10a:104-106, D10b:105;https://sok.riksarkivet.se/bildvisning/R0000166_00060, https://sok.riksarkivet.se/bildvisning/R0000167_00062;https://sok.riksarkivet.se/topografi/3251
3252;Äng;;Ödeshög;Lysings h:d;Östergötland;Kartan vänd 180 grader;;6450442.5576;477593.8165;58.1946;14.6189;high;D10a:104-106, D10b:106;https://sok.riksarkivet.se/bildvisning/R0000166_00060, https://sok.riksarkivet.se/bildvisning/R0000167_00063;https://sok.riksarkivet.se/topografi/3252
3253;Skorperyd;;Ödeshög;Lysings h:d;Östergötland;;;6448671.0503;477099.9233;58.1787;14.6106;high;D10a:107-108, D10b:107;https://sok.riksarkivet.se/bildvisning/R0000166_00061, https://sok.riksarkivet.se/bildvisning/R0000167_00063;https://sok.riksarkivet.se/topografi/3253
3254;Maltmossen;;Ödeshög;Lysings h:d;Östergötland;;;6449072.4397;476316.2538;58.1823;14.5973;high;D10a:107-108, D10b:108;https://sok.riksarkivet.se/bildvisning/R0000166_00061, https://sok.riksarkivet.se/bildvisning/R0000167_00064;https://sok.riksarkivet.se/topografi/3254
3255;Kushult;;Ödeshög;Lysings h:d;Östergötland;;;6448142.0155;476267.5992;58.1739;14.5965;high;D10a:109-112-117, D10b:109;https://sok.riksarkivet.se/bildvisning/R0000166_00064, https://sok.riksarkivet.se/bildvisning/R0000167_00064;https://sok.riksarkivet.se/topografi/3255
3256;Brännebol;;Ödeshög;Lysings h:d;Östergötland;missing på TK ej HK;;6447817.5751;475864.1892;58.171;14.5897;high;D10a:109-112-117, D10b:109;https://sok.riksarkivet.se/bildvisning/R0000166_00064, https://sok.riksarkivet.se/bildvisning/R0000167_00064;https://sok.riksarkivet.se/topografi/3256
3257;Råssholmen;;Ödeshög;Lysings h:d;Östergötland;;;6447455.2035;475995.4439;58.1677;14.592;high;D10a:109-112-117, D10b:110;https://sok.riksarkivet.se/bildvisning/R0000166_00064, https://sok.riksarkivet.se/bildvisning/R0000167_00065;https://sok.riksarkivet.se/topografi/3257
3258;Skrädeberg;;Ödeshög;Lysings h:d;Östergötland;;;6448574.7247;475439.2334;58.1777;14.5824;high;D10a:109-112-117, D10b:111;https://sok.riksarkivet.se/bildvisning/R0000166_00064, https://sok.riksarkivet.se/bildvisning/R0000167_00065;https://sok.riksarkivet.se/topografi/3258
3259;Sunneryd;;Ödeshög;Lysings h:d;Östergötland;;;6448002.1163;475352.0015;58.1726;14.581;high;D10a:109-112-117, D10b:112;https://sok.riksarkivet.se/bildvisning/R0000166_00064, https://sok.riksarkivet.se/bildvisning/R0000167_00066;https://sok.riksarkivet.se/topografi/3259
3260;Stava;;Ödeshög;Lysings h:d;Östergötland;;;6443653.2687;474280.2774;58.1335;14.5632;high;D10a:113-116, D10b:113;https://sok.riksarkivet.se/bildvisning/R0000166_00063, https://sok.riksarkivet.se/bildvisning/R0000167_00066;https://sok.riksarkivet.se/topografi/3260
3261;Holkaberg;;Ödeshög;Lysings h:d;Östergötland;;;6442561.8522;474125.6304;58.1237;14.5607;high;D10a:114-115, D10b:114-115;https://sok.riksarkivet.se/bildvisning/R0000166_00065, https://sok.riksarkivet.se/bildvisning/R0000167_00067;https://sok.riksarkivet.se/topografi/3261
3262;Narbäck;;Ödeshög;Lysings h:d;Östergötland;;;6441346.0071;473450.2494;58.1127;14.5494;high;D10a:114-115, D10b:114-115;https://sok.riksarkivet.se/bildvisning/R0000166_00065, https://sok.riksarkivet.se/bildvisning/R0000167_00067;https://sok.riksarkivet.se/topografi/3262
3263;Porsarp;Pålsarp;Ödeshög;Lysings h:d;Östergötland;;;6440946.2944;473729.7008;58.1091;14.5542;high;D24:16, D10a:114-115, D10b:114-115;https://sok.riksarkivet.se/bildvisning/90003018_00040, https://sok.riksarkivet.se/bildvisning/R0000166_00065, https://sok.riksarkivet.se/bildvisning/R0000167_00067;https://sok.riksarkivet.se/topografi/3263
3264;Munkeryd;;Ödeshög;Lysings h:d;Östergötland;;;6442762.9298;475464.9748;58.1255;14.5835;high;D10a:113-116, D10b:116;https://sok.riksarkivet.se/bildvisning/R0000166_00063, https://sok.riksarkivet.se/bildvisning/R0000167_00068;https://sok.riksarkivet.se/topografi/3264
3265;Näteryd;;Ödeshög;Lysings h:d;Östergötland;;;6446031.7817;475585.7241;58.1549;14.5852;high;D10a:109-112-117, D10b:117;https://sok.riksarkivet.se/bildvisning/R0000166_00064, https://sok.riksarkivet.se/bildvisning/R0000167_00068;https://sok.riksarkivet.se/topografi/3265
