toraid;tora_prefLabel;tora_altLabel;cadastral_unit_id;type;littera;assessment_hemmantal;parish;tora_province;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;koordinatkod;tora_source;tora_source_url;toraid_url
8;Torsåker;;5;kronohemman;5;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;6;frälsehemman;6;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;7;frälsehemman;7;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;8;torp;;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;9;torp;;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;10;torp;;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;11;torp;;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
9;Dyvinge;;1;ospecificerad kameral enhet;A;;Hammarby;Uppland;6603931.2544;668173.9717;59.5398;17.9745;Hög;A10:136;https://sok.riksarkivet.se/bildvisning/R0000150_00072;https://sok.riksarkivet.se/topografi/9
10;Smedby;;1;skattehemman;;;Hammarby;Uppland;6600138.7423;664709.4759;59.5072;17.9104;Hög;A10:137;https://sok.riksarkivet.se/bildvisning/R0000150_00072;https://sok.riksarkivet.se/topografi/10
10;Smedby;;2;frälsehemman;;;Hammarby;Uppland;6600138.7423;664709.4759;59.5072;17.9104;Hög;A10:137;https://sok.riksarkivet.se/bildvisning/R0000150_00072;https://sok.riksarkivet.se/topografi/10
11;Borgby;;1;prästgård;A;;Fresta;Uppland;6599660.3910;668075.3104;59.5016;17.9694;Hög;A10:118-119;https://sok.riksarkivet.se/bildvisning/R0000150_00063;https://sok.riksarkivet.se/topografi/11
12;Harby;;3;utjord;;;Fresta;Uppland;6600256.7901;668683.3419;59.5067;17.9806;Hög;A10:118-119;https://sok.riksarkivet.se/bildvisning/R0000150_00063;https://sok.riksarkivet.se/topografi/12
12;Harby;;1;frälsehemman;;;Fresta;Uppland;6600256.7901;668683.3419;59.5067;17.9806;Hög;A10:118-119;https://sok.riksarkivet.se/bildvisning/R0000150_00063;https://sok.riksarkivet.se/topografi/12
12;Harby;;2;frälsehemman;;;Fresta;Uppland;6600256.7901;668683.3419;59.5067;17.9806;Hög;A10:118-119;https://sok.riksarkivet.se/bildvisning/R0000150_00063;https://sok.riksarkivet.se/topografi/12
13;Fresta;Bårby prästgård, Borgby;1;frälsehemman;A;;Fresta;Uppland;6601353.1828;667328.2306;59.5171;17.9576;Hög;A10:121;https://sok.riksarkivet.se/bildvisning/R0000150_00064;https://sok.riksarkivet.se/topografi/13
13;Fresta;Bårby prästgård, Borgby;2;övrig lägenhetsbebyggelse;;;Fresta;Uppland;6601353.1828;667328.2306;59.5171;17.9576;Hög;A10:121;https://sok.riksarkivet.se/bildvisning/R0000150_00064;https://sok.riksarkivet.se/topografi/13
14;Odenslunda;;1;skattehemman;;;Fresta;Uppland;6601848.9321;666910.1808;59.5217;17.9506;Hög;A10:122-123;https://sok.riksarkivet.se/bildvisning/R0000150_00065;https://sok.riksarkivet.se/topografi/14
14;Odenslunda;;2;torp;G, H;;Fresta;Uppland;6601848.9321;666910.1808;59.5217;17.9506;Hög;A10:122-123;https://sok.riksarkivet.se/bildvisning/R0000150_00065;https://sok.riksarkivet.se/topografi/14
15;Brunnby-Vik;Bråmby;1;frälsehemman;;;Hammarby;Uppland;6602521.5353;666490.6452;59.5279;17.9437;Hög;A10:124;https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/15
15;Brunnby-Vik;Bråmby;2;torp;F;;Hammarby;Uppland;6602521.5353;666490.6452;59.5279;17.9437;Hög;A10:124;https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/15
16;Grimsta;;1;kronohemman;;;Fresta;Uppland;6599033.2085;666871.9919;59.4964;17.9477;Hög;A14:172, A10:125;https://sok.riksarkivet.se/bildvisning/90002986_00202, https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/16
16;Grimsta;;2;frälsehemman;;;Fresta;Uppland;6599033.2085;666871.9919;59.4964;17.9477;Hög;A14:172, A10:125;https://sok.riksarkivet.se/bildvisning/90002986_00202, https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/16
16;Grimsta;;3;frälsehemman;;;Fresta;Uppland;6599033.2085;666871.9919;59.4964;17.9477;Hög;A14:172, A10:125;https://sok.riksarkivet.se/bildvisning/90002986_00202, https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/16
16;Grimsta;;4;frälsehemman;;;Fresta;Uppland;6599033.2085;666871.9919;59.4964;17.9477;Hög;A14:172, A10:125;https://sok.riksarkivet.se/bildvisning/90002986_00202, https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/16
16;Grimsta;;5;övrig lägenhetsbebyggelse;;;Fresta;Uppland;6599033.2085;666871.9919;59.4964;17.9477;Hög;A14:172, A10:125;https://sok.riksarkivet.se/bildvisning/90002986_00202, https://sok.riksarkivet.se/bildvisning/R0000150_00066;https://sok.riksarkivet.se/topografi/16
17;Skålhamra;;1;kronohemman;;;Täby;Uppland;6599510.8205;670406.2308;59.4993;18.0104;Hög;A10:126-127, A14:170;https://sok.riksarkivet.se/bildvisning/R0000150_00067, https://sok.riksarkivet.se/bildvisning/90002986_00199;https://sok.riksarkivet.se/topografi/17
17;Skålhamra;;2;torp;F;;Täby;Uppland;6599510.8205;670406.2308;59.4993;18.0104;Hög;A10:126-127, A14:170;https://sok.riksarkivet.se/bildvisning/R0000150_00067, https://sok.riksarkivet.se/bildvisning/90002986_00199;https://sok.riksarkivet.se/topografi/17
17;Skålhamra;;3;ospecificerad kameral enhet;;;Täby;Uppland;6599510.8205;670406.2308;59.4993;18.0104;Hög;A10:126-127, A14:170;https://sok.riksarkivet.se/bildvisning/R0000150_00067, https://sok.riksarkivet.se/bildvisning/90002986_00199;https://sok.riksarkivet.se/topografi/17
18;Sanda;;1;skattehemman;;;Fresta;Uppland;6600361.9094;667018.6395;59.5083;17.9513;Hög;A10:120;https://sok.riksarkivet.se/bildvisning/R0000150_00064;https://sok.riksarkivet.se/topografi/18
19;Grana;;1;skattehemman;1;;Vallentuna;Uppland;6603825.1860;669401.2518;59.5384;17.9961;Hög;A10:52-53, A14:142;https://sok.riksarkivet.se/bildvisning/R0000150_00031, https://sok.riksarkivet.se/bildvisning/90002986_00170;https://sok.riksarkivet.se/topografi/19
