id;kommentar_tora;kommentar;framförställt;namn;efterställt;kategori;kartvolym;källa_kartakt;källa_url;toraid;toraid_url;tora_bebyggelseenhet;socken;härad;landskap;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long
1;;;;Aaplebärg;;bebyggelsenamn;O2;O2:64-65;;12292;https://sok.riksarkivet.se/topografi/12292;Apleberg;Murums församling;;Västergötland;;;;
2;;;;Aass häradt;;bebyggelsenamn;O2;O2:88-89;;;;;;;;;;;
3;;;;Abberåsz;;bebyggelsenamn;O2;O2:201;;7198;https://sok.riksarkivet.se/topografi/7198;Abberås;Gingri;Ås h:d;Västergötland;6404618,0081;381646,3335;57,768;13,0104
4;;ändrat till Abberåsz;;Aberåsz;;bebyggelsenamn;O2;O2:207-208;;7198;https://sok.riksarkivet.se/topografi/7198;Abberås;Gingri;Ås h:d;Västergötland;6404618,0081;381646,3335;57,768;13,0104
5;;;;Affwelåsa;ägor;bebyggelsenamn;O2;O2:84;;;;;;;;;;;
6;;;;Algustorp;;bebyggelsenamn;O2;O2:145;https://sok.riksarkivet.se/bildvisning/R0000175_00081;7116;https://sok.riksarkivet.se/topografi/7116;Algutstorp;Rångedala;Ås h:d;Västergötland;6408119,6325;389683,9038;57,8015;13,1438
7;;;;Anderz Ionsz;gård;personnamn;O2;O2:147-148;https://sok.riksarkivet.se/bildvisning/R0000175_00082;7118;https://sok.riksarkivet.se/topografi/7118;Gravryd;Rångedala;Ås h:d;Västergötland;6405392,0924;388532,1729;57,7767;13,1257
8;;;;Algustorpa;ägor ;bebyggelsenamn;O2;O2:140;https://sok.riksarkivet.se/bildvisning/R0000175_00077;7116;https://sok.riksarkivet.se/topografi/7116;Algutstorp;Rångedala;Ås h:d;Västergötland;6408119,6325;389683,9038;57,8015;13,1438
9;;;;Algutztorp;;bebyggelsenamn;O2;O2:128;;7116;https://sok.riksarkivet.se/topografi/7116;Algutstorp;Rångedala;Ås h:d;Västergötland;6408119,6325;389683,9038;57,8015;13,1438
10;;;;Ammunholt;;bebyggelsenamn;O2;O2:207-208;;7197;https://sok.riksarkivet.se/topografi/7197;Amnahult;Gingri;Ås h:d;Västergötland;6403951,4657;381635,7603;57,762;13,0105
11;;nasalstreck över e;;Amne<n>nholt;;bebyggelsenamn;O2;O2:201;;7197;https://sok.riksarkivet.se/topografi/7197;Amnahult;Gingri;Ås h:d;Västergötland;6403951,4657;381635,7603;57,762;13,0105
12;;;;Anck Siöö;;naturnamn;O2;O2:98-99;https://sok.riksarkivet.se/bildvisning/R0000175_00056;7467;https://sok.riksarkivet.se/topografi/7467;Härna;Härna;Ås h:d;Västergötland;6412983,7691;395507,1386;57,8465;13,2396
13;;;;Anders;gård i Elmestad;personnamn;O2;O2:48-49;https://sok.riksarkivet.se/bildvisning/R0000175_00031;7435;https://sok.riksarkivet.se/topografi/7435;Älmestad;Hällstad;Ås h:d;Västergötland;6419516,1988;401761,2658;57,9066;13,3422
14;;;;Anders;gård;personnamn;O2;O2:2-3;https://sok.riksarkivet.se/bildvisning/R0000175_00008;7408;https://sok.riksarkivet.se/topografi/7408;Döve;Kärråkra;Ås h:d;Västergötland;6429195,8868;405516,2505;57,9943;13,4017
15;;;;Anderß;gård;personnamn;O2;O2:149;https://sok.riksarkivet.se/bildvisning/R0000175_00083;7152;https://sok.riksarkivet.se/topografi/7152;Taryd;Toarp;Ås h:d;Västergötland;6401859,8958;388385,4171;57,7449;13,1249
16;;;;Anderß Helgeßon;i;personnamn;O2;O2:36-37;https://sok.riksarkivet.se/bildvisning/R0000175_00025;7423;https://sok.riksarkivet.se/topografi/7423;Möne;Möne;Ås h:d;Västergötland;6421207,3886;404060,8548;57,9223;13,3803
17;;skrivet av annan hand;;Andersz;i Tary;personnamn;O2;O2:155-156;https://sok.riksarkivet.se/bildvisning/R0000175_00086;7152;https://sok.riksarkivet.se/topografi/7152;Taryd;Toarp;Ås h:d;Västergötland;6401859,8958;388385,4171;57,7449;13,1249
18;;ändrat till Arfwedz av annan hand;;Andersz Arwez;gårdh;personnamn;O2;O2:151-152;https://sok.riksarkivet.se/bildvisning/R0000175_00084;7120;https://sok.riksarkivet.se/topografi/7120;Äspered;Äspered;Ås h:d;Västergötland;6403038,8478;391940,4451;57,7564;13,184
19;;;;Andersz Elffs;gård;personnamn;O2;O2:211-212;https://sok.riksarkivet.se/bildvisning/R0000175_00114;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
20;;;;Andersz Gunnars;gårdh;personnamn;O2;O2:159-160;https://sok.riksarkivet.se/bildvisning/R0000175_00088;7123;https://sok.riksarkivet.se/topografi/7123;Skänstad;Toarp;Ås h:d;Västergötland;6399468,4359;388592,9277;57,7235;13,1295
21;;;;Aplebärgs;egor;bebyggelsenamn;O2;O2:64-65;;12292;https://sok.riksarkivet.se/topografi/12292;Apleberg;;;Västergötland;;;;
22;;;;Arffuedz;gård;personnamn;O2;O2:68-69;https://sok.riksarkivet.se/bildvisning/R0000175_00041;7446;https://sok.riksarkivet.se/topografi/7446;Sölvarpa;Murum;Ås h:d;Västergötland;6422061,296;398432,5996;57,9287;13,285
23;;;;Arffwesz;gård;personnamn;O2;O2:116-117;;7483;https://sok.riksarkivet.se/topografi/7483;Varnum;Varnum;Ås h:d;Västergötland;6411081,7978;390515,6818;57,8283;13,1564
24;;nasalstreck över e;;Backe<n>s;ägor;bebyggelsenamn;O2;O2:181-182;;7148;https://sok.riksarkivet.se/topografi/7148;Skäftingsbacka;Toarp;Ås h:d;Västergötland;6396882,8661;384139,1135;57,6992;13,056
25;;namnet skrivet av annan hand än övriga texten;;Backebol;;bebyggelsenamn;O2;O2:28-29;;7428;https://sok.riksarkivet.se/topografi/7428;Backabo;Södra Vånga;Ås h:d;Västergötland;6422899,573;402881,9625;57,9372;13,3597
26;;;;Backebos;egor;bebyggelsenamn;O2;O2:32-33;https://sok.riksarkivet.se/bildvisning/R0000175_00023;7428;https://sok.riksarkivet.se/topografi/7428;Backabo;Södra Vånga;Ås h:d;Västergötland;6422899,573;402881,9625;57,9372;13,3597
27;;;;Backegården;;bebyggelsenamn;O2;O2:129-130;https://sok.riksarkivet.se/bildvisning/R0000175_00072;7106;https://sok.riksarkivet.se/topografi/7106;Finnekumla;Rångedala;Ås h:d;Västergötland;6409032,4429;388034,4755;57,8093;13,1156
28;;;;Backen;;bebyggelsenamn;O2;O2:183-184;;7148;https://sok.riksarkivet.se/topografi/7148;Skäftingsbacka;Toarp;Ås h:d;Västergötland;6396882,8661;384139,1135;57,6992;13,056
29;Bäckegården;;;Becke gårdz;ägor;bebyggelsenamn;O2;O2:113;https://sok.riksarkivet.se/bildvisning/R0000175_00063;;;;;;;;;;
30;;;till;Behgtz;;personnamn;O2;O2:22;https://sok.riksarkivet.se/bildvisning/R0000175_00018;7415;https://sok.riksarkivet.se/topografi/7415;Häggryda;Kärråkra;Ås h:d;Västergötland;6426027,6599;404375,0512;57,9656;13,3837
31;;;;Bengt Jons;gård;personnamn;O2;O2:19;https://sok.riksarkivet.se/bildvisning/R0000175_00016;7415;https://sok.riksarkivet.se/topografi/7415;Häggryda;Kärråkra;Ås h:d;Västergötland;6426027,6599;404375,0512;57,9656;13,3837
32;;;;Bengt Påffuelz;gård;personnamn;O2;O2:52-53;https://sok.riksarkivet.se/bildvisning/R0000175_00033;7437;https://sok.riksarkivet.se/topografi/7437;Hällstad;Hällstad;Ås h:d;Västergötland;6418501,9171;400933,4457;57,8973;13,3287
33;;;;Bengtz;gård;personnamn;O2;O2:12-13;https://sok.riksarkivet.se/bildvisning/R0000175_00013;7415;https://sok.riksarkivet.se/topografi/7415;Häggryda;Kärråkra;Ås h:d;Västergötland;6426027,6599;404375,0512;57,9656;13,3837
34;;;;Berget;;bebyggelsenamn;O2;O2:179-180;;7144;https://sok.riksarkivet.se/topografi/7144;Berget;Toarp;Ås h:d;Västergötland;6394188,5205;381862,5149;57,6744;13,0191
35;;;;Biorke Lacus;;naturnamn;O2;O2:58;https://sok.riksarkivet.se/bildvisning/R0000175_00036;7440;https://sok.riksarkivet.se/topografi/7440;Halanda;Hällstad;Ås h:d;Västergötland;6417393,9952;397220,4638;57,8865;13,2666
36;;;med;Biorkegården;;bebyggelsenamn;O2;O2:96-97;https://sok.riksarkivet.se/bildvisning/R0000175_00055;7467;https://sok.riksarkivet.se/topografi/7467;Härna;Härna;Ås h:d;Västergötland;6412983,7691;395507,1386;57,8465;13,2396
37;;;;Biörensz;gårdh;personnamn;O2;O2:96-97;https://sok.riksarkivet.se/bildvisning/R0000175_00055;7467;https://sok.riksarkivet.se/topografi/7467;Härna;Härna;Ås h:d;Västergötland;6412983,7691;395507,1386;57,8465;13,2396
38;;;;Biörk Siöö;;naturnamn;O2;O2:94;https://sok.riksarkivet.se/bildvisning/R0000175_00054;7466;https://sok.riksarkivet.se/topografi/7466;Åstorp;Härna;Ås h:d;Västergötland;6415704,8568;396602,8685;57,8712;13,2569
39;;;;Biörke Siöö;;naturnamn;O2;O2:56-57;https://sok.riksarkivet.se/bildvisning/R0000175_00035;7439;https://sok.riksarkivet.se/topografi/7439;Väby, Storegården;Hällstad;Ås h:d;Västergötland;6416672,8569;399241,5755;57,8805;13,3009
40;;;;Biörkegården;;bebyggelsenamn;O2;O2:96-97;https://sok.riksarkivet.se/bildvisning/R0000175_00055;7467;https://sok.riksarkivet.se/topografi/7467;Härna;Härna;Ås h:d;Västergötland;6412983,7691;395507,1386;57,8465;13,2396
41;;;;Boarp;;bebyggelsenamn;O2;O2:14;https://sok.riksarkivet.se/bildvisning/R0000175_00014;7413;https://sok.riksarkivet.se/topografi/7413;Boarp;Kärråkra;Ås h:d;Västergötland;6426468,8939;404864,171;57,9697;13,3918
42;;;;Boarp;;bebyggelsenamn;O2;O2:118;https://sok.riksarkivet.se/bildvisning/R0000175_00066;7484;https://sok.riksarkivet.se/topografi/7484;Boarp;Varnum;Ås h:d;Västergötland;6412306,5945;389260,2679;57,839;13,1347
43;;;;Boarpa;egor;bebyggelsenamn;O2;O2:8-9;https://sok.riksarkivet.se/bildvisning/R0000175_00011;7413;https://sok.riksarkivet.se/topografi/7413;Boarp;Kärråkra;Ås h:d;Västergötland;6426468,8939;404864,171;57,9697;13,3918
44;Bondarp;;;Bonarp;;bebyggelsenamn;O2;O2:2-3;https://sok.riksarkivet.se/bildvisning/R0000175_00008;;;;;;;;;;
45;;;;Bonarp                             ;;bebyggelsenamn;O2;O2:91;;7469;https://sok.riksarkivet.se/topografi/7469;Bondarp;Härna;Ås h:d;Västergötland;6414741,19;395805,1229;57,8624;13,2439
46;;;;Bondarp;;bebyggelsenamn;O2;O2:215-216;;7206;https://sok.riksarkivet.se/topografi/7206;Bondarp;Gingri;Ås h:d;Västergötland;6408093,2109;383315,4074;57,7996;13,0367
47;;;till;Bondarp;;bebyggelsenamn;O2;O2:104;https://sok.riksarkivet.se/bildvisning/R0000175_00059;7469;https://sok.riksarkivet.se/topografi/7469;Bondarp;Härna;Ås h:d;Västergötland;6414741,19;395805,1229;57,8624;13,2439
48;;;;Bondarpa;ägor;bebyggelsenamn;O2;O2:94;https://sok.riksarkivet.se/bildvisning/R0000175_00054;7469;https://sok.riksarkivet.se/topografi/7469;Bondarp;Härna;Ås h:d;Västergötland;6414741,19;395805,1229;57,8624;13,2439
49;;;;Bonnarp;;bebyggelsenamn;O2;O2:102-103;https://sok.riksarkivet.se/bildvisning/R0000175_00058;7469;https://sok.riksarkivet.se/topografi/7469;Bondarp;Härna;Ås h:d;Västergötland;6414741,19;395805,1229;57,8624;13,2439
50;Bosgården;;;Bosgården;;bebyggelsenamn;O2;O2:125-126;https://sok.riksarkivet.se/bildvisning/R0000175_00070;;;;;;;;;;
51;;;;Bosz gården;;bebyggelsenamn;O2;O2:116-117;;7483;https://sok.riksarkivet.se/topografi/7483;Varnum;Varnum;Ås h:d;Västergötland;6411081,7978;390515,6818;57,8283;13,1564
52;;;;Boszgården;;bebyggelsenamn;O2;O2:96-97;https://sok.riksarkivet.se/bildvisning/R0000175_00055;7467;https://sok.riksarkivet.se/topografi/7467;Härna;Härna;Ås h:d;Västergötland;6412983,7691;395507,1386;57,8465;13,2396
53;Bredgården;;med;Breagården ;;bebyggelsenamn;O2;O2:218;https://sok.riksarkivet.se/bildvisning/R0000175_00117;;;;;;;;;;
54;;ändrat till Breared av annan hand;i;Breare;;bebyggelsenamn;O2;O2:155-156;https://sok.riksarkivet.se/bildvisning/R0000175_00086;7119;https://sok.riksarkivet.se/topografi/7119;Bredared;Rångedala;Ås h:d;Västergötland;6402446,9942;388919,4977;57,7504;13,1336
55;;;;Breared;;bebyggelsenamn;O2;O2:149;https://sok.riksarkivet.se/bildvisning/R0000175_00083;7119;https://sok.riksarkivet.se/topografi/7119;Bredared;Rångedala;Ås h:d;Västergötland;6402446,9942;388919,4977;57,7504;13,1336
56;;;;Brearydh  ;;bebyggelsenamn;O2;O2:128;;7119;https://sok.riksarkivet.se/topografi/7119;Bredared;Rångedala;Ås h:d;Västergötland;6402446,9942;388919,4977;57,7504;13,1336
57;Sjöbredared;;;Brearydz;ägor;bebyggelsenamn;O2;O2:112;https://sok.riksarkivet.se/bildvisning/R0000175_00063;;;;;;;;;;
58;;;;Brearys;ägor;bebyggelsenamn;O2;O2:155-156;https://sok.riksarkivet.se/bildvisning/R0000175_00086;7119;https://sok.riksarkivet.se/topografi/7119;Bredared;Rångedala;Ås h:d;Västergötland;6402446,9942;388919,4977;57,7504;13,1336
59;;;;Bremholta sochn;;bebyggelsenamn;O2;O2:186;;;;;;;;;;;
60;Bredstorp;;;Brisstorpsz;ägor;bebyggelsenamn;O2;O2:90;;;;;;;;;;;
61;;;;Brogården;;bebyggelsenamn;O2;O2:16-17;https://sok.riksarkivet.se/bildvisning/R0000175_00015;7414;https://sok.riksarkivet.se/topografi/7414;Yttre Öjelunda;Kärråkra;Ås h:d;Västergötland;6424626,1845;404557,0427;57,9531;13,3873
62;;;;Brogården;;bebyggelsenamn;O2;O2:116-117;;7482;https://sok.riksarkivet.se/topografi/7482;Guntorp;Varnum;Ås h:d;Västergötland;6411124,0828;391800,4246;57,829;13,178
63;;;på;Brunn;;naturnamn;O2;O2:108;https://sok.riksarkivet.se/bildvisning/R0000175_00061;7472;https://sok.riksarkivet.se/topografi/7472;Töve;Södra Ving;Ås h:d;Västergötland;6410972,5676;394402,4589;57,8282;13,2219
64;;;;Brunstorp;;bebyggelsenamn;O2;O2:55;https://sok.riksarkivet.se/bildvisning/R0000175_00034;7438;https://sok.riksarkivet.se/topografi/7438;Brunstorp;Hällstad;Ås h:d;Västergötland;;;;
65;;;;Bråthult;;bebyggelsenamn;O2;O2:173;https://sok.riksarkivet.se/bildvisning/R0000175_00095;7138;https://sok.riksarkivet.se/topografi/7138;Bråthult;Toarp;Ås h:d;Västergötland;6395015,7554;384198,8839;57,6824;13,0579
66;;;;Bräkeszåsz;;bebyggelsenamn;O2;O2:199-200;;7104;https://sok.riksarkivet.se/topografi/7104;Bräkesås;Brämhult;Ås h:d;Västergötland;6403729,5954;382590,9556;57,7603;13,0267
67;;;;Bräkåsz;;bebyggelsenamn;O2;O2:218;https://sok.riksarkivet.se/bildvisning/R0000175_00117;7207;https://sok.riksarkivet.se/topografi/7207;Bräckås;Gingri;Ås h:d;Västergötland;6408548,3225;383780,7089;57,8038;13,0443
68;;;;Bräkååsz ;;bebyggelsenamn;O2;O2:201;;7207;https://sok.riksarkivet.se/topografi/7207;Bräckås;Gingri;Ås h:d;Västergötland;6408548,3225;383780,7089;57,8038;13,0443
69;;;;Brämhåltas;egor;bebyggelsenamn;O2;O2:187-188;;7090;https://sok.riksarkivet.se/topografi/7090;Brämhult;Brämhult;Ås h:d;Västergötland;6401254,5247;382385,0661;57,738;13,0244
70;Bolstorp, Möne sn;;;Bulstorpa;egor;bebyggelsenamn;O2;O2:16-17;https://sok.riksarkivet.se/bildvisning/R0000175_00015;;;;;;;;;;
71;Bolstorp, Möne sn;;;Bulstorps;egor;bebyggelsenamn;O2;O2:32-33;https://sok.riksarkivet.se/bildvisning/R0000175_00023;;;;;;;;;;
72;;;;Butorp;;bebyggelsenamn;O2;O2:140;https://sok.riksarkivet.se/bildvisning/R0000175_00077;7113;https://sok.riksarkivet.se/topografi/7113;Bytorp;Rångedala;Ås h:d;Västergötland;6407516,8452;389609,1045;57,796;13,1428
73;;;;Butorpa;egor;bebyggelsenamn;O2;O2:145;https://sok.riksarkivet.se/bildvisning/R0000175_00081;7113;https://sok.riksarkivet.se/topografi/7113;Bytorp;Rångedala;Ås h:d;Västergötland;6407516,8452;389609,1045;57,796;13,1428
74;;;;Bygd                                    ;;bebyggelsenamn;O2;O2:153-154;;7147;https://sok.riksarkivet.se/topografi/7147;Bygd;Toarp;Ås h:d;Västergötland;6396562,1152;385052,6449;57,6965;13,0715
75;;;wed;Bygdh;;bebyggelsenamn;O2;O2:161;https://sok.riksarkivet.se/bildvisning/R0000175_00089;7147;https://sok.riksarkivet.se/topografi/7147;Bygd;Toarp;Ås h:d;Västergötland;6396562,1152;385052,6449;57,6965;13,0715
76;;;;Bygdt;;bebyggelsenamn;O2;O2:181-182;;7147;https://sok.riksarkivet.se/topografi/7147;Bygd;Toarp;Ås h:d;Västergötland;6396562,1152;385052,6449;57,6965;13,0715
77;;;;Bygdz;ägor;bebyggelsenamn;O2;O2:169;https://sok.riksarkivet.se/bildvisning/R0000175_00093;7147;https://sok.riksarkivet.se/topografi/7147;Bygd;Toarp;Ås h:d;Västergötland;6396562,1152;385052,6449;57,6965;13,0715
78;;;;Bålås;;bebyggelsenamn;O2;O2:201;;7210;https://sok.riksarkivet.se/topografi/7210;Bollås;Gingri;Ås h:d;Västergötland;6408796,7746;384435,4404;57,8062;13,0552
79;;;;Bålåsz;;bebyggelsenamn;O2;O2:221;;7210;https://sok.riksarkivet.se/topografi/7210;Bollås;Gingri;Ås h:d;Västergötland;6408796,7746;384435,4404;57,8062;13,0552
80;;;;Bängtz;gård;bebyggelsenamn;O2;O2:20-21;;7415;https://sok.riksarkivet.se/topografi/7415;Häggryda;Kärråkra;Ås h:d;Västergötland;6426027,6599;404375,0512;57,9656;13,3837
81;;;;Clasz;gård;personnamn;O2;O2:151-152;https://sok.riksarkivet.se/bildvisning/R0000175_00084;7120;https://sok.riksarkivet.se/topografi/7120;Äspered;Äspered;Ås h:d;Västergötland;6403038,8478;391940,4451;57,7564;13,184
82;;;;Culla;;bebyggelsenamn;O2;O2:169;https://sok.riksarkivet.se/bildvisning/R0000175_00093;7133;https://sok.riksarkivet.se/topografi/7133;Kulla;Toarp;Ås h:d;Västergötland;6396927,6281;385656,0058;57,7;13,0814
83;;;i;Dale siöö;;naturnamn;O2;O2:166;https://sok.riksarkivet.se/bildvisning/R0000175_00091;7130;https://sok.riksarkivet.se/topografi/7130;Kråkhult, Östergården;Toarp;Ås h:d;Västergötland;6398335,7799;386162,3329;57,7128;13,0892
84;;;i;Dalesiö;;naturnamn;O2;O2:165;;7129;https://sok.riksarkivet.se/topografi/7129;Tomarp;Toarp;Ås h:d;Västergötland;6399442,2926;386699,2229;57,7228;13,0977
85;;;i;Dalesiöö;;naturnamn;O2;O2:159-160;https://sok.riksarkivet.se/bildvisning/R0000175_00088;7123;https://sok.riksarkivet.se/topografi/7123;Skänstad;Toarp;Ås h:d;Västergötland;6399468,4359;388592,9277;57,7235;13,1295
86;;;i;Dallsiöö;;naturnamn;O2;O2:158;https://sok.riksarkivet.se/bildvisning/R0000175_00087;7124;https://sok.riksarkivet.se/topografi/7124;Skälvarås;Toarp;Ås h:d;Västergötland;6398225,8927;389061,2497;57,7125;13,1379
87;;;i;Dalsio;;naturnamn;O2;O2:170;https://sok.riksarkivet.se/bildvisning/R0000175_00093;7134;https://sok.riksarkivet.se/topografi/7134;Skinnarehult;Toarp;Ås h:d;Västergötland;6396708,667;387300,8609;57,6984;13,1091
88;;;i;Dalsiöö;;naturnamn;O2;O2:167-168;;7132;https://sok.riksarkivet.se/topografi/7132;Kråkhult, Västergården;Toarp;Ås h:d;Västergötland;6397934,2161;385974,0622;57,7091;13,0863
89;Dannarp;;;Danarpa;egor;bebyggelsenamn;O2;O2:59;https://sok.riksarkivet.se/bildvisning/R0000175_00036;;;;;;;;;;
90;;;;Diszebergiet;;naturnamn, ägonamn;O2;O2:141-142;;7114;https://sok.riksarkivet.se/topografi/7114;Rångedala;Rångedala;Ås h:d;Västergötland;6407187,7519;388534,0553;57,7928;13,1249
91;;;;Drengegården;;bebyggelsenamn;O2;O2:141-142;;7114;https://sok.riksarkivet.se/topografi/7114;Rångedala;Rångedala;Ås h:d;Västergötland;6407187,7519;388534,0553;57,7928;13,1249
92;;;i;Döffue;;bebyggelsenamn;O2;O2:2-3;https://sok.riksarkivet.se/bildvisning/R0000175_00008;7408;https://sok.riksarkivet.se/topografi/7408;Döve;Kärråkra;Ås h:d;Västergötland;6429195,8868;405516,2505;57,9943;13,4017
93;;;;Döffuene;;bebyggelsenamn;O2;O2:2-3;https://sok.riksarkivet.se/bildvisning/R0000175_00008;7408;https://sok.riksarkivet.se/topografi/7408;Döve;Kärråkra;Ås h:d;Västergötland;6429195,8868;405516,2505;57,9943;13,4017
94;;;;Döffwene                                        ;;bebyggelsenamn;O2;O2:1;;7408;https://sok.riksarkivet.se/topografi/7408;Döve;Kärråkra;Ås h:d;Västergötland;6429195,8868;405516,2505;57,9943;13,4017
95;;;;Döffweneß;vtmåßer;bebyggelsenamn;O2;O2:20-21;;7408;https://sok.riksarkivet.se/topografi/7408;Döve;Kärråkra;Ås h:d;Västergötland;6429195,8868;405516,2505;57,9943;13,4017
96;Ekås;;;Eckåßa;egor;bebyggelsenamn;O2;O2:174;https://sok.riksarkivet.se/bildvisning/R0000175_00095;;;;;;;;;;
97;Ekekullen, Öra sn, Gäsene h:d;;till;Eekekullen;;bebyggelsenamn;O2;O2:67;https://sok.riksarkivet.se/bildvisning/R0000175_00040;;;;;;Västergötland;;;;
98;;;;Ehndensz;ägor;bebyggelsenamn;O2;O2:177;https://sok.riksarkivet.se/bildvisning/R0000175_00097;7141;https://sok.riksarkivet.se/topografi/7141;Änden;Toarp;Ås h:d;Västergötland;6393140,1265;380430,5584;57,6646;12,9957
99;;;;Ekekulla;;bebyggelsenamn;O2;O2:132;https://sok.riksarkivet.se/bildvisning/R0000175_00073;7107;https://sok.riksarkivet.se/topografi/7107;Ekkulla;Rångedala;Ås h:d;Västergötland;6407254,2129;386787,3454;57,793;13,0955
100;;;;Ekekullas;ägor;bebyggelsenamn;O2;O2:133-134;https://sok.riksarkivet.se/bildvisning/R0000175_00074;7107;https://sok.riksarkivet.se/topografi/7107;Ekkulla;Rångedala;Ås h:d;Västergötland;6407254,2129;386787,3454;57,793;13,0955
101;;;;Elmesta;frälze gård;bebyggelsenamn;O2;O2:50;https://sok.riksarkivet.se/bildvisning/R0000175_00032;7435;https://sok.riksarkivet.se/topografi/7435;Älmestad;Hällstad;Ås h:d;Västergötland;6419516,1988;401761,2658;57,9066;13,3422
102;;;i;Elmestad;;bebyggelsenamn;O2;O2:48-49;https://sok.riksarkivet.se/bildvisning/R0000175_00031;7435;https://sok.riksarkivet.se/topografi/7435;Älmestad;Hällstad;Ås h:d;Västergötland;6419516,1988;401761,2658;57,9066;13,3422
103;;;;Elmestadh;;bebyggelsenamn;O2;O2:48-49;https://sok.riksarkivet.se/bildvisning/R0000175_00031;7435;https://sok.riksarkivet.se/topografi/7435;Älmestad;Hällstad;Ås h:d;Västergötland;6419516,1988;401761,2658;57,9066;13,3422
104;;;;Elmestadz;enger;bebyggelsenamn;O2;O2:50;https://sok.riksarkivet.se/bildvisning/R0000175_00032;7435;https://sok.riksarkivet.se/topografi/7435;Älmestad;Hällstad;Ås h:d;Västergötland;6419516,1988;401761,2658;57,9066;13,3422
105;;;;Enden;;bebyggelsenamn;O2;O2:175-176;;7141;https://sok.riksarkivet.se/topografi/7141;Änden;Toarp;Ås h:d;Västergötland;6393140,1265;380430,5584;57,6646;12,9957
106;;;;Eskeryd;;bebyggelsenamn;O2;O2:195-196;;7098;https://sok.riksarkivet.se/topografi/7098;Eskilsryd;Brämhult;Ås h:d;Västergötland;6402109,1136;381353,581;57,7454;13,0067
107;;;;Esperyd                                   ;;bebyggelsenamn;O2;O2:201;;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
108;;;;Espryd;;bebyggelsenamn;O2;O2:211-212;https://sok.riksarkivet.se/bildvisning/R0000175_00114;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
109;;Namnet ändrat av annan hand;;Espryd sochn;;bebyggelsenamn;O2;O2:150;;;;;;;;;;;
110;;;;Esprydh;;bebyggelsenamn;O2;O2:151-152;https://sok.riksarkivet.se/bildvisning/R0000175_00084;7120;https://sok.riksarkivet.se/topografi/7120;Äspered;Äspered;Ås h:d;Västergötland;6403038,8478;391940,4451;57,7564;13,184
111;;;;Esprydh sochn;;bebyggelsenamn;O2;O2:151-152;https://sok.riksarkivet.se/bildvisning/R0000175_00084;;;;;;;;;;
112;;;;Esprydz;ägor;bebyggelsenamn;O2;O2:213;https://sok.riksarkivet.se/bildvisning/R0000175_00115;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
113;;;;Esprysz;agor;bebyggelsenamn;O2;O2:213;https://sok.riksarkivet.se/bildvisning/R0000175_00115;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
114;;;wed;Eßpery;;bebyggelsenamn;O2;O2:215-216;;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
115;;skrivet av annan hand;i;Eßperyd;;bebyggelsenamn;O2;O2:213;https://sok.riksarkivet.se/bildvisning/R0000175_00115;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
116;;;;Esstorpa;egor;bebyggelsenamn;O2;O2:123;;7214;https://sok.riksarkivet.se/topografi/7214;Esstorp;Tärby;Ås h:d;Västergötland;6412270,7062;387393,9903;57,8382;13,1033
117;;;;Estorp;;bebyggelsenamn;O2;O2:124;https://sok.riksarkivet.se/bildvisning/R0000175_00069;7214;https://sok.riksarkivet.se/topografi/7214;Esstorp;Tärby;Ås h:d;Västergötland;6412270,7062;387393,9903;57,8382;13,1033
118;;;;Estorpa;egor;bebyggelsenamn;O2;O2:121-122;https://sok.riksarkivet.se/bildvisning/R0000175_00068;7214;https://sok.riksarkivet.se/topografi/7214;Esstorp;Tärby;Ås h:d;Västergötland;6412270,7062;387393,9903;57,8382;13,1033
119;;;;Faleskog;;bebyggelsenamn;O2;O2:137-138;https://sok.riksarkivet.se/bildvisning/R0000175_00076;7111;https://sok.riksarkivet.se/topografi/7111;Falskog;Rångedala;Ås h:d;Västergötland;6405298,2915;387006,8679;57,7755;13,1001
120;;;;Faleskogh;;bebyggelsenamn;O2;O2:137-138;https://sok.riksarkivet.se/bildvisning/R0000175_00076;7111;https://sok.riksarkivet.se/topografi/7111;Falskog;Rångedala;Ås h:d;Västergötland;6405298,2915;387006,8679;57,7755;13,1001
