id;kommentar_tora;kommentar;framförställt;namn;efterställt;kategori;kartvolym;källa_kartakt;källa_url;toraid;toraid_url;tora_bebyggelseenhet;socken;härad;landskap;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long
23079;;;wppå;Stoore Kakne målen;;naturnamn;Sturefors;Sturefors:24;https://sok.riksarkivet.se/bildvisning/R0000499_00022;4035;https://sok.riksarkivet.se/topografi/4035;Kuddby;Kvillinge;Bråbo h:d;Östergötland;6500873,9928;568461,828;58,6427;16,1795
23080;;;i;Quillinge sochn;;bebyggelsenamn;Sturefors;Sturefors:24;https://sok.riksarkivet.se/bildvisning/R0000499_00022;;;;Kvillinge;Bråbo h:d;;;;;
23081;;;i;Steenby sochn;;bebyggelsenamn;Sturefors;Sturefors:24;https://sok.riksarkivet.se/bildvisning/R0000499_00022;;;;Östra Stenby;Östkinds h:d;;;;;
23082;;;;Bemmelsbool;;bebyggelsenamn;Sturefors;Sturefors:26-27;;3916;https://sok.riksarkivet.se/topografi/3916;Bemmelsbo;Svinstad;Bankekinds h:d;Östergötland;6467739,495;547799,0442;58,3479;15,8166
23083;;;;Bämmellßbooll;;bebyggelsenamn;Sturefors;Sturefors:26-27;;3916;https://sok.riksarkivet.se/topografi/3916;Bemmelsbo;Svinstad;Bankekinds h:d;Östergötland;6467739,495;547799,0442;58,3479;15,8166
23084;;;;Frößlunda;by;bebyggelsenamn;Sturefors;Sturefors:26-27;;3915;https://sok.riksarkivet.se/topografi/3915;Frösslunda;Svinstad;Bankekinds h:d;Östergötland;6466330,9938;547243,0727;58,3354;15,8068
23085;;;;Gultorp;;bebyggelsenamn;Sturefors;Sturefors:26-27;;3913;https://sok.riksarkivet.se/topografi/3913;Gulltorp;Svinstad;Bankekinds h:d;Östergötland;6467569,1806;547422,4927;58,3465;15,8101
23086;;;;Helgetorp;;bebyggelsenamn;Sturefors;Sturefors:26-27;;3917;https://sok.riksarkivet.se/topografi/3917;Helgetorp;Svinstad;Bankekinds h:d;Östergötland;6466484,985;546876,7026;58,3368;15,8006
23087;;;;Huttekulla;;bebyggelsenamn;Sturefors;Sturefors:26-27;;3914;https://sok.riksarkivet.se/topografi/3914;Huttekulla;Svinstad;Bankekinds h:d;Östergötland;6466853,7907;547348,3354;58,34;15,8087
23088;;;;Måhltorp;;bebyggelsenamn;Sturefors;Sturefors:28;https://sok.riksarkivet.se/bildvisning/R0000499_00024;3918;https://sok.riksarkivet.se/topografi/3918;Måltorp;Svinstad;Bankekinds h:d;Östergötland;6465623,549;546862,2698;58,329;15,8002
23089;;;;Blinnestad;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23090;;;;Liunga;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23091;;;med;Memß;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23092;;;;Nyble;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23093;;;;Rangetorp;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23094;;;h<er>r;Fridrich Steenbock;;personnamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;4157;https://sok.riksarkivet.se/topografi/4157;Skällingstad;Tåby;Björkekinds h:d;Östergötland;6485723,0167;581068,9306;58,5045;16,3912
23095;;;;Skillingstad;by;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;4157;https://sok.riksarkivet.se/topografi/4157;Skällingstad;Tåby;Björkekinds h:d;Östergötland;6485723,0167;581068,9306;58,5045;16,3912
23096;;;;Torp;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23097;;;;Taby;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
