wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (1709048.26101387082599103 8119129.27074487507343292);29418;4860;Tjällmo kyrka;high;6508417.498139;520426.94928;58.71541283;15.35264174;1473776.19653322;6510425.8698324;5832200031;Tjällmo
Point (1927658.04662396805360913 8361921.24547427706420422);39186;1536;Tibble kyrka;high;6634716.115563;629851.984189;59.82970707;17.31644686;1584759.69773406;6635434.87276509;3801600006;Tibbleby
Point (1478552.46268677385523915 7933310.49986557848751545);20254;7471;Södra vings kyrka;high;6411941.057345;398001.794132;57.83774843;13.28206276;1350145.42540498;6415376.25432761;15841000001;*Ving
Point (1828075.69775755144655704 7629691.14679373521357775);22141;6341;Södra möckleby kyrka;high;6246652.90647;587858.500325;56.35638355;16.4218834;1538118.9457613;6247782.04267843;8400800003;Södra Möckleby
Point (1661073.16684315935708582 7965278.17847559787333012);24188;6061;Säby kyrka;high;6427631.870916;495368.967777;57.99029064;14.92167414;1447741.20579407;6429912.08906242;6870100005;Säby
Point (1647980.84222474996931851 8035928.07592242024838924);25825;3316;Svanhals kyrka;high;6464924.728972;488523.538261;58.32512291;14.80406379;1441339.2495075;6467300.66698581;5090300001;Svanshals
Point (1458767.86172136547975242 8087885.97678404953330755);23028;7849;Sunnersbergs kyrka;high;6493658.416339;389742.039553;58.56936207;13.10433466;1342859.95506944;6497232.14404926;16811200001;Sunnersberg
Point (1455070.60643280600197613 8090568.87650790624320507);23010;7845;Strö kyrka;high;6495112.167222;387850.791795;58.58192762;13.07112165;1340985.25752584;6498709.33825705;16811000001;Strö
Point (2011578.05740980338305235 8251120.40781305078417063);15721;;Storkyrkan;high;6580347.791581;674687.722216;59.32570806;18.07031314;1628943.65780974;6580511.91717219;;
Point (1847987.57917779893614352 7661526.01155032124370337);22368;6313;Stenåsa kyrka;medium;6264491.425887;598500.224548;56.51449342;16.60075487;1548972.62950056;6265500.24721397;8400400005;Stenåsa
Point (1829235.22250949731096625 7639882.42582855839282274);22185;6336;Smedby kyrka;high;6252307.271624;588384.612527;56.40707075;16.43229959;1538711.48335065;6253431.70831889;8400700005;Stora Smedby
Point (1679048.28381780977360904 8037803.28067214787006378);27685;5081;Skrukeby kyrka;high;6465895.751354;504868.930915;58.33396722;15.08314736;1457702.24796057;6468076.19501741;5860200108;Skrukeby
Point (1695536.35218326258473098 8063227.28958624508231878);26665;5132;Skeppsås kyrka;high;6479242.558506;513496.391995;58.45366005;15.2312622;1466492.76086955;6481324.24046529;5860900008;Prästgården
Point (1368919.76282414584420621 8240966.2910937936976552);13723;8532;Silleruds kyrka;high;6574258.616168;346004.761822;59.27914171;12.29721546;1300072.94990875;6578401.20909271;17650200071;Prästgården
Point (1349493.77776523120701313 8263652.71964604314416647);13560;8458;Silbodals kyrk? Står ej där dagens kyrka är rest;high;6586243.61714;336565.978501;59.38309286;12.12270886;1290774.36933781;6590507.05157038;17650100038;Högerud
Point (1840817.77763417619280517 7630674.46600460354238749);22083;6348;Segerstad kyrka;high;6247349.526483;594918.470535;56.36127711;16.53634745;1545188.88576686;6248396.09489186;8400900001;Segerstad
Point (1465545.51896725757978857 8183980.70975992735475302);15341;9145;Se raä, fornsök;high;6543349.407913;394646.88743;59.01662341;13.16521939;1348365.8274075;6546888.0585124;17850500002;Ölserud
Point (1852462.16928169107995927 7674909.13892010506242514);22404;6430;Sandby kyrka;high;6271925.153753;600797.076837;56.58076538;16.6409508;1551357.36477173;6272908.82145223;8401800005;Sandby Prästgård
Point (1644771.09412913699634373 8029613.15307409502565861);25906;3372;Rök kyrka;high;6461612.095201;486823.608773;58.29532261;14.77523013;1439598.99680144;6464007.15283246;5090600001;Rök
Point (1862399.29405039758421481 8882763.75935478322207928);3148;11364;Ruin?;high;6886464.950839;590320.833736;62.09945475;16.73021751;1548318.00565584;6887729.57794332;21320600001;Kyrkbyn
Point (1589943.79964914778247476 7911506.19772064220160246);24840;5361;Rogberga kyrka;medium;6399247.83311;457287.189565;57.73333148;14.28270816;1409306.15600681;6401970.96947833;6801500001;Rogberga
Point (1665218.25895530544221401 8027480.82162955962121487);27504;3553;Rinna kyrka;high;6460469.866159;497590.555785;58.28525441;14.95891013;1450356.25399375;6462735.54496706;5600300003;Rinna
Point (2010902.89147987705655396 8250891.30829776730388403);15720;569;Riddaholmskyrkan;medium;6580215.058042;674348.180259;59.32465812;18.06424802;1628602.45304547;6580383.27492857;1840100205;Stockholm
Point (1830438.49623485328629613 7666959.31311529595404863);22284;6299;Resmo kyrka;high;6267272.405495;588737.57969;56.5414126;16.44310878;1539240.17354282;6268396.57765512;8400200003;Resmo
Point (1716126.78823078679852188 8052273.22712023556232452);10664;3882;Rappestad kyrka;high;6473558.289967;524326.449271;58.40213961;15.41622923;1477258.31552617;6475508.14649651;5801700001;Rappestad
Point (1941354.90143315796740353 8354088.1279075164347887);39121;1456;Ramsta kyrka;high;6631025.044677;636892.262343;59.79432428;17.4394878;1591756.52447181;6631657.34455924;3800800008;Ramsta
Point (1503245.0817188024520874 7969831.68532531149685383);15887;8064;Pl för mussla ky;medium;6431021.400868;411599.456734;58.01196623;13.50388033;1363977.25175302;6434303.36434653;16861400007;Mussla
Point (2015865.91007141373120248 8312179.44693081732839346);36012;60;Orkesta kyrka;high;6611459.960596;675427.543719;59.60438064;18.10883158;1630061.00078067;6611620.14809683;1150300002;Yttergåla
Point (1622492.19296985608525574 9093896.73132011853158474);4013;11921;Näs kyrka;high;6982771.828206;478458.525529;62.97407448;14.57509535;1437623.65037786;6985464.02569614;23800400004;Näs
Point (1958523.52666165702976286 8352702.68337299209088087);38881;1488;Näs kyrka;high;6630656.652684;645571.267511;59.78806221;17.59371618;1600432.78523895;6631183.26709211;3801200002;*Klockarebolet
Point (1699948.50852662674151361 7830623.63405545521527529);23960;5654;Nye kyrka;high;6355640.072805;516304.555203;57.34335474;15.27089727;1467827.89263029;6357645.58546298;6851400008;*Nyklockargård
Point (1825418.0532131246291101 7662585.8878652099519968);22259;6306;Mörbylånga kyrka;medium;6264803.680895;586013.700707;56.51974606;16.39800937;1536486.59296822;6265959.19813066;8400300005;Mörbylånga
Point (1566460.27894988469779491 7896552.09291493054479361);25015;5392;Månsarps kyrka;high;6391408.903671;444616.296892;57.6615442;14.07175211;1396536.63029453;6394279.54154346;6801900005;Månsarp
Point (1998640.99844061769545078 8431030.25813098438084126);41139;1993;Morkarla kyrka;high;6670699.72785;664038.125424;60.14025375;17.95409756;1619391.2294023;6671008.65036041;3821200014;Morkarla
Point (1681840.61439761519432068 7874675.45953545905649662);25774;6041;Mellby kyrka;high;6379315.08996;506476.409257;57.55626879;15.10823129;1458277.24346515;6381445.53052808;6860800021;Mellby
Point (2011176.0637196225579828 8249698.86726968735456467);15729;569;Maria;medium;6579613.304073;674515.763301;59.31919277;18.06670197;1628762.77457944;6579779.39354031;1840100205;Stockholm
Point (1696666.24750814633443952 8073471.15690120775252581);26788;4797;Lönsås kyrka;high;6484601.478902;514069.502464;58.50177203;15.24141222;1467130.37920989;6486678.13278106;5831000001;Lönsås
Point (2452181.02923883078619838 9780508.52407979592680931);327;12079;Luleå kyrka;high;7298476.185979;822875.985871;65.64556723;22.02831698;1786118.94330131;7296859.90474539;25800300401;Luleå
Point (1648038.64257638296112418 7962245.93220647238194942);24366;6162;Linderås kyrka;medium;6426038.101029;488441.290371;57.97584928;14.80458301;1440791.92625952;6428400.42286912;6870300024;Linderås
Point (1700614.24459136696532369 7818598.70078664552420378);24140;5575;Lemnhults kyrka;high;6349147.621883;516690.91036;57.28501953;15.27687768;1468137.45479218;6351146.31754294;6851000006;Lemnhult
Point (1985949.00680232956074178 8354671.60505764465779066);38056;1628;Lagga kyrka;high;6632213.898036;659350.718853;59.79696119;17.84008346;1614233.77595084;6632573.11604178;3803200001;Lagga
Point (1819274.73657769453711808 8292048.59865956380963326);7900;10373;Kyrkorui? Stora Rytterne kyrka;high;6597917.595418;575994.788634;59.51275756;16.34282302;1530442.24473685;6599281.89713016;19802000014;Lundby
Point (1759346.19593479437753558 8490862.32714089751243591);5635;11242;Kyrkogården;high;6696983.894985;544319.065958;60.40676729;15.80447578;1499964.61985778;6698762.95221876;20820200020;*Kyrkbyn
Point (1422420.35353411664254963 8250186.80345238093286753);14312;9238;Kyrka/kyrkogård;high;6577953.795562;373537.686746;59.32142925;12.77781944;1327664.85851123;6581764.7352122;17850900045;Gillberga
Point (1989404.46093103429302573 8269290.6105485251173377);35398;530;Kyrk? I Järfälla sn men på Hästas karta, Spånga sn;high;6589097.989217;662960.013427;59.40887684;17.87112434;1617320.0039534;6589405.70251982;1804100101;Hästa
Point (1907232.28281980566680431 8162336.38475220464169979);34991;2184;Kyrka?;low;6532699.830499;622827.154503;58.91638502;17.1329591;1576497.35283826;6533481.62763233;4801700013;Ludgo
Point (1629397.08008538815192878 7752269.13239868078380823);20878;6209;Kyrka;medium;6313167.300602;477933.339189;56.96157571;14.63712301;1428940.18615199;6315610.99804931;7640300002;Härlöv
Point (1567935.68850583350285888 7913307.20218491181731224);21035;5343;Kyrka;medium;6400351.030836;445527.918132;57.74196761;14.08500594;1397555.07529505;6403214.64676032;6800800001;Sandseryd
Point (1578104.9815312868449837 7915989.42635906673967838);21026;5313;Kyrka;medium;6401712.640305;450983.602661;57.75482554;14.17635825;1403029.28856348;6404511.86525765;6800300001;Ljungarum
Point (1571303.74655182869173586 7925994.96771152969449759);21112;5315;Kyrka;medium;6407093.528313;447417.458425;57.8027493;14.11526172;1399525.73512696;6409937.51009972;6800400001;Klämmestorp
Point (1593073.18252708460204303 7924629.78378451522439718);21051;5323;Kyrka;medium;6406230.907859;459032.361416;57.79621419;14.31081989;1411135.21616341;6408936.13936409;6800600101;Hakarp
Point (1873439.48438724782317877 8179015.06314231175929308);32809;2344;Kyrka;medium;6540783.706966;605113.833314;58.99365245;16.82939323;1558877.47205926;6541781.03080372;4820400008;Årdala
Point (2071474.61975659895688295 8329610.71509271115064621);36713;1040;Kyrka;medium;6621690.053279;703120.031752;59.68351566;18.60837312;1657881.88251204;6621515.16918392;1882500029;Länna
Point (2078828.98986206878907979 8342436.62588463537395);36823;1001;Kyrka;medium;6628358.794174;706477.975173;59.74162404;18.67443855;1661321.37793924;6628143.92874209;1882300002;Frötuna
Point (2081750.29301779740490019 8374052.35456062015146017);36699;917;Kyrka;medium;6644327.950282;707063.398977;59.88443012;18.70068106;1662101.32341197;6644107.99659696;1881900112;Söderby
Point (2076348.45650908770039678 8359389.00920366030186415);36632;901;Kyrka;medium;6636816.951772;704756.342469;59.81827287;18.65215554;1659702.47771373;6636624.13265399;1881800022;Estuna
Point (2065988.70836582314223051 8356928.77680881321430206);36513;870;Kyrka;medium;6635296.537329;699608.638164;59.80716005;18.55909234;1654535.57722892;6635166.19434863;1881700004;Lohärad
Point (2074995.63364886422641575 8348846.39918310008943081);36562;863;Kyrka;medium;6631478.582319;704366.899709;59.77062601;18.64000292;1659247.99553731;6631289.80957702;1881600006;Malsta
Point (2062757.43269006814807653 8342125.66121785528957844);36465;794;Kyrka;medium;6627761.308995;698378.707443;59.74021639;18.53006529;1653213.76922769;6627644.90883763;1881300005;Husby
Point (1829550.27386926859617233 8188307.33546228613704443);33752;2498;Kyrka;high;6545014.877774;582359.88964;59.03662577;16.43512974;1536168.8417837;6546287.9005006;4830400001;Sköldinge
Point (2022470.15478385821916163 8297305.01912828721106052);35618;113;Kyrka;high;6604087.505755;679133.056065;59.53670556;18.16815852;1633677.57590709;6604201.51728328;1150800001;Lundby
Point (1656677.17333877831697464 8036962.5105784647166729);25886;5184;Kumla kyrka;high;6465457.303458;493100.191542;58.33000204;14.88218426;1445923.98712209;6467778.60299705;5861300001;Kumla
Point (1718331.1364084470551461 7871216.71992393862456083);23850;5888;Kråkshults kyrka;high;6377537.7036;526103.317989;57.53959661;15.43603123;1477889.80016574;6379434.37368064;6860300020;Stora Kråkshult
Point (1693060.76482001575641334 8089348.7985482681542635);26870;4720;Kristberg kyrka;high;6492883.670065;512156.106287;58.57621386;15.20902362;1465315.7777155;6494986.16444439;5830500050;Kristberg
Point (1707109.46302826656028628 8073383.33861130848526955);27009;4765;Klockrike kyrka;high;6484579.046087;519537.128069;58.50135986;15.33522522;1472599.60319175;6486590.06124408;5830700018;Klockrike
Point (2010575.50005020527169108 8252334.430134367197752);15728;569;Klara kyrka;medium;6580943.269459;674147.06959;59.33127125;18.06130702;1628410.13064695;6581114.04068448;1840100205;Stockholm
Point (1504557.52591059077531099 7981699.52429210301488638);15825;8076;Kinneveds kyrka;high;6437287.848147;412434.114147;58.06839781;13.51567021;1364887.17508262;6440562.75282834;16861600005;Kinneved
Point (1432856.20412275660783052 7882489.57741510774940252);35228;7373;Kinnarumma kyrka;medium;6385495.388787;372781.301481;57.59390714;12.87156628;1324597.42397641;6389217.7551524;15832000015;Kinnarumma kyrka
Point (1828892.61734152608551085 7650258.35883321426808834);22847;6325;Kastlösa kyrka;high;6258038.886337;588075.472607;56.45860708;16.42922191;1538469.49745605;6259168.43696233;8400600003;Kastlösa
Point (1343485.03014015569351614 8296524.9740320835262537);12997;8551;Karlanda kyrka;medium;6603077.290675;334237.736291;59.53315279;12.06873137;1288649.18462444;6607378.11454214;17650300017;Karlanda
Point (1734751.09642859967425466 8477835.36635358445346355);4505;11046;Kapell;high;6690413.762956;532204.552426;60.34892532;15.58353424;1487765.9033794;6692339.01437013;20817100068;*Östra Silverbergs gruva
Point (1752934.74698998872190714 8479098.64307576231658459);12917;11222;Kapell;medium;6691129.910465;541212.134748;60.35453899;15.74688075;1496785.08795512;6692945.18352098;20820100301;Säter
Point (2086389.81522263633087277 8435781.54932422563433647);37660;686;Kapell;medium;6675282.507602;707647.293494;60.16149713;18.7423586;1663063.01076553;6675059.38931579;1880500055;Söderby
Point (2375637.07535805320367217 9616664.92092610895633698);1365;11997;Kapell;medium;7226943.60368;798262.068424;65.03146693;21.34071094;1760586.83060026;7225638.76900596;24820400214;Åbyn
Point (1861934.0555374794639647 8209640.96168701909482479);32933;2360;Ka;medium;6556370.912352;598769.124479;59.13508299;16.7260382;1552719.44797227;6557448.65195957;4820500002;Malmköping
Point (1767586.89895655354484916 8191897.17368392646312714);33807;2009;Ka;high;6546308.695955;550393.215604;59.05321308;15.87850327;1504208.71005795;6547968.0111206;4280100001;Västra Vingåker
Point (1571332.53479151264764369 7926020.86479311436414719);24822;5322;Järstorp kyrka;high;6407107.126906;447433.008062;57.80287326;14.11552032;1399541.45340633;6409950.92918766;6800400008;Järstorp
Point (1352294.12982275593094528 8330808.75540611147880554);13362;8290;Järnskogs kyrka;medium;6620221.534548;339456.04048;59.68894771;12.14786485;1294078.71739071;6624468.17108338;17300300016;Järnskog
Point (1916766.85111135966144502 8380335.19685520231723785);39199;1541;Järlåsa kyrka;high;6643771.59074;624059.236974;59.91273646;17.21860958;1579075.97329694;6644562.84888123;3801700001;Järlåsa
Point (1939491.48422565078362823 8387009.07204803824424744);38968;1552;Jumkil kyrk? Även på Ubby A4:64-5;high;6647515.892035;635348.496358;59.94277812;17.42274844;1590413.26427079;6648170.39056426;3801800001;*Klockaregården
Point (1715199.19389424473047256 7891693.59071481600403786);25392;5938;Ingatorps kyrka;high;6388503.143035;524353.057727;57.6381903;15.40789651;1476269.2770838;6390424.2757074;6860500018;Ingatorp prästgård
Point (1672608.68573840917088091 7886454.83483283035457134);25681;6048;Höreda kyrka;high;6385624.935846;501511.531257;57.61299175;15.02529947;1453385.57297113;6387816.64731222;6860900004;Höreda
Point (2026817.29183012316934764 8447997.09843885153532028);41182;1899;Hökhuvud kyrka, möjligen förväxlad med prästgården;medium;6679790.297848;677676.008064;60.21605078;18.20720951;1633142.4808639;6679934.12158919;3820500007;Hökhuvud
Point (1783829.6876574126072228 7793828.7841594610363245);21953;6246;Högsby kyrka;high;6336170.052602;561954.716887;57.16456405;16.02441473;1513262.03751338;6337628.85691308;8210200201;Högsby
Point (1680886.42282789945602417 8043413.87475575413554907);27633;5062;Högby kyrka;high;6468841.858702;505831.49419;58.36041609;15.09965964;1458700.45915949;6471011.81363375;5860200002;Högby
Point (2079558.96482175309211016 8408915.94606935605406761);37536;659;Häverö kyrka;high;6661707.354357;704991.371196;60.04119826;18.68099602;1660240.96673932;6661514.91342248;1880500027;Häverö
Point (1733788.35420740838162601 8125001.12419325765222311);29110;3675;Hällestad kyrka;high;6511555.192012;533274.239994;58.7427934;15.57488578;1486665.47508904;6513410.01187382;5620200001;Hällestad
Point (1990670.99021159973926842 8320036.41679107118397951);35846;1086;Husby kyrka;high;6614856.008626;662488.947045;59.64007306;17.88250176;1617161.47644596;6615173.96807085;1910600007;Husby
Point (1683856.80768248438835144 7884184.07151695434004068);25124;6007;Hults kyrka;high;6384415.12649;507550.701963;57.60206389;15.12634307;1459412.52583061;6386534.61325197;6860600033;Hults Prästgård
Point (1844267.92149062012322247 7648417.31369247008115053);22317;6321;Hulterstad kyrka;medium;6257207.329406;596609.41142;56.44946788;16.56734062;1546995.85123415;6258236.53619635;8400500004;Hulterstad
Point (1848976.77388982148841023 8327619.47448175773024559);9904;12187;Hubbo kyrka;high;6616259.551015;590656.723524;59.6744852;16.60964096;1545330.76370909;6617450.68419841;19801600012;Hubbo
Point (1672552.73070281278342009 8037713.0548034617677331);27086;5142;Hogstad kyrka;high;6465845.637683;501452.065885;58.33354172;15.02479681;1454283.55988471;6468067.00520887;5861100001;Hogstad
Point (1636765.03563723806291819 8027719.64472205471247435);26013;3368;Heda kyrka;high;6460633.01415;482603.186831;58.2863822;14.70331048;1435365.24719154;6463078.24962856;5090500012;Heda
Point (1814066.31475097057409585 8169820.36671501770615578);12948;2614;Hammare;medium;6535327.02547;574562.824923;58.95107753;16.29603497;1528252.77206515;6536691.51230744;4830600155;*Forssjö gård
Point (1851992.08571719215251505 7678940.13902841135859489);22431;6422;Gårdby kyrka;high;6274137.906475;600484.785462;56.60070378;16.63672797;1551071.00172351;6275125.78513005;8401700002;Gårdby
Point (2021356.66873358469456434 8342141.89303742907941341);37912;823;Gottröra kyrka;high;6626715.194191;677489.208082;59.74028987;18.1581559;1632308.44406415;6626852.77412617;1881400016;Gottröra
Point (1687200.86463097203522921 8122089.66598685644567013);29657;4660;Godegård kyrka;high;6509911.697772;509055.012367;58.7292199;15.15638324;1462418.33247882;6512057.40825452;5830400051;*Godegårds kyrka
Point (1840521.41704147588461637 7702857.78102609701454639);22669;6380;Glömminge kyrka;high;6287134.045962;593865.259385;56.71879055;16.5336852;1544602.68264599;6288203.01092794;8401300003;Glömminge
Point (2032018.01932399556972086 8302986.05212648212909698);37700;94;Garns kyrka;high;6607199.786908;683839.081854;59.56256896;18.25392844;1638422.11835634;6607257.1427085;1150700005;Lilla Garn
Point (1318349.59150432213209569 8278364.0031992606818676);13186;8691;Fågelviks kyrka;high;6594446.172365;321037.176397;59.45033136;11.84293588;1275336.54872327;6598902.53421669;17650700023;Västra Fågelvik
Point (1449838.91856380039826035 7929715.02724908106029034);18828;7230;Fristad kyrka;high;6410444.952568;382633.926114;57.82055113;13.0241246;1334752.16093504;6414062.64977986;15831100013;Fristad
Point (1998907.57078523281961679 8293172.91633289214223623);35671;13;Fresta kyrka;high;6601440.96346;667263.685238;59.51788133;17.95649222;1621774.13336551;6601698.61110274;1140300003;Fresta
Point (1838521.16193274524994195 8260190.95095411594957113);33744;2676;Fors kyrka;high;6581927.379875;586147.493459;59.3672513;16.5157166;1540403.81922589;6583164.33230279;4840200105;Eskilstuna prästgård
Point (1695639.03702930803410709 8068936.14778721332550049);26756;4787;Fornåsa kyrka;high;6482228.98489;513539.91025;58.48048075;15.23218463;1466572.12889417;6484311.17638963;5830900005;Fornåsa
Point (1737634.43955911509692669 8492509.72022728994488716);4431;11025;Enebacka kapell;high;6697682.443641;533566.903625;60.41407469;15.60943575;1489217.64563474;6699593.34439528;20817100047;Enbacka
Point (1689972.87316809431649745 8080888.99244579765945673);26829;4817;Ekeby kyrka;high;6488464.930526;510554.817704;58.53657;15.18128462;1463660.86013226;6490585.12098328;5831100008;Ekeby
Point (1674940.40773361152969301 8020419.17790210526436567);27399;3518;Ekeby kyrka;high;6456755.462981;502714.323096;58.25189108;15.04624568;1455437.39746495;6458958.44740492;5600200101;Ekeby
Point (1989079.78579540364444256 8290988.93254060111939907);35444;1;Edsby kyrka;high;6600114.318235;662318.870376;59.50792771;17.86820773;1616812.36108809;6600431.74392947;1140100001;Edsby
Point (1706115.87821915606036782 8081725.47341691609472036);26520;4736;Brunneby kyrka;high;6488933.498438;518995.784026;58.54049186;15.3262997;1472110.35543134;6490952.48786807;5830600011;Brunneby
Point (2085751.95343501586467028 8361916.7535196403041482);36897;934;Bro kyrka;high;6638350.87716;709417.305752;59.82968679;18.73662859;1664382.71480179;6638101.49328426;1882000002;Roslags-Bro
Point (1497124.3543788380920887 7971690.71755321882665157);15917;8070;Brismene kyrka;high;6432079.334985;408373.633053;58.02081181;13.4488969;1360762.55782363;6435400.32904047;16861500001;Brismene
Point (1339293.28772994433529675 8239756.85633175540715456);13431;8623;Blomskogs kyrk? Idag flyttad något öster;high;6574286.383477;330819.741767;59.27359105;12.0310763;1284880.05827188;6578612.94983442;17650500009;Blomskog
Point (1844125.68603282491676509 8826334.36646456271409988);2564;11596;Bjuråkers kyrka;high;6859724.384717;582393.024618;61.8613213;16.5660629;1540055.79037016;6861080.55761962;21840900011;Prästgården
