query_name,qid,label,lat,lon,country,sitelinks
Lüneburg|,Q3920,Lüneburg,53.2525,10.414444,Germany,86
Malaucène|France,Q602820,Malaucène,44.174167,5.132222,France,35
Malbork|Poland,Q146820,Malbork,54.02846,19.04435,Poland,75
Malmø|,Q2211,Malmö,55.583333,13.0,Sweden,148
Mantua|,Q6247,Mantua,45.156389,10.791111,Italy,119
Meldorf|,Q498545,Meldorf,54.083333,9.066667,Germany,43
Middelfart|,Q21140,Middelfart Municipality,55.5,9.75,Denmark,37
Montefiascone|,Q176142,Montefiascone,42.533333,12.033333,Italy,63
Nakskov|,Q24231,Nakskov,54.833333,11.15,Denmark,27
Napoli|,Q2634,Naples,40.835833,14.248611,Italy,207
Nottingham|,Q41262,Nottingham,52.955,-1.149167,United Kingdom,122
Nyborg|,Q30013,Nyborg Municipality,55.29473,10.7031,Denmark,40
Nyhus|,Q16854910,Niehuus,54.82654,9.37951,Germany,3
Nyköping|,Q54356,Nyköping,58.758237,17.018466,Sweden,73
Nykøbing F.|,Q986435,Nykøbing Falster,54.766667,11.883333,Denmark,30
Nykøbing Falster|,Q986435,Nykøbing Falster,54.766667,11.883333,Denmark,30
Nykøbing|,Q986435,Nykøbing Falster,54.766667,11.883333,Denmark,30
Næstved|,Q21178,Næstved,55.233333,11.766667,Denmark,51
Nîmes|,Q42807,Nîmes,43.838333,4.359722,France,119
Nürnberg|,Q2090,Nuremberg,49.453889,11.0775,Germany,156
Odense|Denmark,Q25331,Odense,55.4,10.383333,Denmark,115
Orvieto|,Q541,Orvieto,42.7182,12.108269,Italy,83
Oslo|,Q585,Oslo,59.913333,10.738889,Norway,244
Paris|,Q90,Paris,48.856667,2.352222,France,366
Perugia|,Q3437,Perugia,43.111918,12.388548,Italy,128
Plön|,Q497060,Plön,54.162222,10.421389,Germany,52
Poitiers|,Q6616,Poitiers,46.581111,0.335278,France,114
Prag|,Q1085,Prague,50.0875,14.421389,Czech Republic,267
Prenzlau|,Q537214,Prenzlau,53.309752,13.862671,Germany,58
Putbus|,Q572006,Putbus,54.354531,13.474903,Germany,41
Pîtres|,Q1072945,Pîtres,49.319444,1.225833,France,42
Ralswiek|,Q658200,Ralswiek,54.466667,13.45,Germany,32
Randers|,Q27168,Randers,56.456944,10.039167,Denmark,71
Reinfeld|,Q539463,Reinfeld,53.833333,10.483333,Germany,35
Rendsborg|,Q490457,Rendsburg,54.304444,9.664444,Germany,60
Rendsburg|,Q490457,Rendsburg,54.304444,9.664444,Germany,60
Ribe domkirke|,Q700070,Ribe Cathedral,55.32804,8.7615,Denmark,18
Ribe|,Q322361,Ribe,55.327222,8.763056,Denmark,51
Ribnitz|,Q571959,Ribnitz-Damgarten,54.25,12.466667,Germany,43
Rieti|,Q13396,Rieti,42.40443,12.856702,Italy,87
Riga|,Q1773,Riga,56.9475,24.106944,Latvia,225
Rimini|,Q13369,Rimini,44.059444,12.568333,Italy,117
Ringsted|Denmark,Q503116,Ringsted Municipality,55.445276,11.788908,Denmark,37
Roma|Italy,Q220,Rome,41.893056,12.482778,Italy,343
Roskilde|,Q26563,Roskilde,55.641667,12.080833,Denmark,85
Rostock|,Q2861,Rostock,54.083333,12.133333,Germany,120
Sakskøbing|,Q13218306,Sakskøbing,54.7975,11.63639,Denmark,17
Schwerin|,Q1709,Schwerin,53.628889,11.415,Germany,122
Segeberg|,Q496050,Bad Segeberg,53.936111,10.309722,Germany,52
Skanør|,Q194512,Skanör med Falsterbo,55.395343,12.855141,Sweden,27
Skara|,Q939389,Skara,58.384245,13.434902,Sweden,45
Skänninge|,Q990083,Skänninge,58.392129,15.087694,Sweden,26
Slagelse|,Q3414556,Slagelse,55.400833,11.35,Denmark,44
Slangerup|,Q3617406,Slangerup,55.8467,12.1761,Denmark,16
Slesvig|,Q501661,Schleswig,54.515278,9.569722,Germany,66
Sorgues|France,Q538880,Sorgues,44.008333,4.8725,France,41
Sorø|,Q27858,Sorø,55.4366,11.5592,Denmark,44
Spandau|,Q158083,Spandau,52.55,13.2,Germany,48
Stade|,Q6949,Stade,53.600833,9.476389,Germany,64
Stegeborg|,Q661338,Stegeborg Castle,58.441389,16.598889,Sweden,8
Stege|,Q2301524,Stege,54.9861,12.2856,Denmark,16
Sternberg|,Q157266,Sternberg,53.711694,11.829306,Germany,40
Stockholm|,Q1754,Stockholm,59.329444,18.068611,Sweden,278
Stralsund|,Q4065,Stralsund,54.309167,13.081944,Germany,90
Stuhm|,Q640368,Sztum,53.920556,19.030556,Poland,37
Svavsted|,Q28050,Schwabstedt,54.395833,9.187222,Germany,34
Svendborg|,Q28031,Svendborg,55.059722,10.61,Denmark,45
Söderköping|,Q984831,Söderköping,58.475012,16.326708,Sweden,38
Søborg|,Q3172579,Søborg,56.0852,12.3192,Denmark,7
Sølvesborg|,Q898727,Sölvesborg,56.029918,14.57417,Sweden,42
Sønderborg|,Q21179,Sønderborg,54.911389,9.786667,Denmark,51
Taarnborg|,Q12339964,Tårnborg,55.3459,11.1427,Denmark,3
Tallinn|Estonia,Q1770,Tallinn,59.437222,24.745,Estonia,230
Tangermünde|,Q498565,Tangermünde,52.540833,11.968889,Germany,47
Tartu|Estonia,Q13972,Tartu,58.38,26.7225,Estonia,132
Templin|,Q519157,Templin,53.121686,13.508255,Germany,50
Thorn|,Q47554,Toruń,53.0144,18.6014,Poland,101
Tivoli|,Q159605,Tivoli,41.966667,12.8,Italy,90
Tommerup|,Q307351,Östra Tommarp,55.535318,14.23757,Sweden,16
Tours|,Q288,Tours,47.392778,0.688333,France,118
Tranekær|,Q1606423,Tranekær Municipality,54.9969,10.8444,Denmark,12
Trälleborg|,Q26943,Trelleborg,55.372346,13.181198,Sweden,58
Turku|Finland,Q38511,Turku,60.451667,22.266944,Finland,148
Tønder|,Q3162907,Tønder Municipality,54.933333,8.9,Denmark,38
Tønsberg|,Q107392,Tønsberg,59.298056,10.423611,Norway,73
Uppsala|,Q25286,Uppsala,59.849761,17.638947,Sweden,138
Upsala|,Q25286,Uppsala,59.849761,17.638947,Sweden,138
Vadstena|,Q265682,Vadstena,58.445096,14.897135,Sweden,50
Varberg|,Q21168,Varberg,57.097293,12.273331,Sweden,63
Vejle|,Q27116,Vejle,55.708333,9.533333,Denmark,77
Viborg|Denmark,Q21176,Viborg,56.45,9.4,Denmark,75
"Vienne, Isère|France",Q26849,Vienne,45.525556,4.874722,France,80
Villeneuve-lès-Avignon|France,Q269113,Villeneuve-lès-Avignon,43.966389,4.795833,France,51
Visby|,Q54757,Visby,57.628997,18.307109,Sweden,105
Viterbo|,Q13395,Viterbo,42.418611,12.104167,Italy,96
Vordingborg|,Q183572,Vordingborg Municipality,55.008333,11.910278,Denmark,42
Warnemünde|,Q311849,Warnemünde,54.17683,12.08556,Germany,32
